No,Category,Pattern_Name,Description,AI_Model_Type,Do,Don't,Code_Good,Code_Bad,Severity,User_Trust_Level,Latency_Budget,Docs_URL
1,Chat UI,Message Bubble Layout,Distinct visual separation between user and AI messages,LLM,Align user right and AI left with different bg colors,Use same style for both — confusing who said what,User: bg-blue-500 text-white ml-auto; AI: bg-gray-100 text-gray-900,Same gray bubble for both user and AI,High,n/a,n/a,
2,Chat UI,Streaming Response,Show tokens as they arrive — not wait for full response,LLM,Stream tokens with cursor/typing indicator at end,Wait for complete response then show all at once — feels broken,EventSource: onmessage append to DOM progressively,await fetch() then show entire response,Critical,builds-trust,<200ms first token,https://developer.mozilla.org/en-US/docs/Web/API/Server-sent_events
3,Chat UI,Thinking Indicator,Show AI is processing before first token arrives,LLM,Animated dots or shimmer with 'Thinking...' label,Blank screen while waiting — user thinks it crashed,<div class='thinking'><span class='dot-pulse'></span> Thinking...</div>,No indicator — just empty chat,High,builds-trust,<2s before indicator,
4,Chat UI,Message Actions,Copy/retry/thumbs-up/down on AI responses,LLM,Show action buttons on hover/focus for each message,No way to copy or rate responses,Hover: [📋 Copy] [🔄 Retry] [👍] [👎],Plain text with no interaction options,Medium,feedback,n/a,
5,Chat UI,Input Area,Multi-line input with send button and keyboard shortcut,LLM,Enter to send + Shift+Enter for newline + send button,Single-line input with no keyboard shortcut,<textarea> with Ctrl+Enter to send or Enter for single-line,<input type='text'> for chat — no multiline,High,n/a,n/a,
6,Chat UI,Context Window Indicator,Show user how much context/history is being used,LLM,Subtle indicator showing conversation length vs limit,No indication — user confused when AI forgets earlier context,Token counter: '4.2K / 128K tokens used',No context indicator — user unaware of limits,Medium,transparency,n/a,
7,Streaming,Token-by-Token Render,Render each token as it arrives from the API,LLM,Append tokens smoothly at consistent render speed,Buffer and dump chunks — looks laggy and jarring,reader.read().then(chunk => appendToDOM(chunk)),Collect all chunks then innerHTML = fullResponse,High,builds-trust,16ms per frame,
8,Streaming,Markdown Rendering,Parse and render markdown in streaming responses,LLM,Incrementally parse markdown as tokens arrive,Wait for full markdown then render — delays visibility,Use streaming-capable markdown parser (marked.js incremental),Parse markdown only after stream completes,High,n/a,n/a,https://marked.js.org/
9,Streaming,Code Block Detection,Detect and syntax-highlight code blocks in real-time,LLM,Detect ``` boundaries and apply syntax highlighting live,Show raw markdown code fences until complete,Detect opening ``` and switch to code rendering mode,Show raw ``` and language tag during stream,Medium,n/a,n/a,
10,Streaming,Error Recovery,Handle stream interruptions gracefully,LLM,Show partial response + retry button on stream failure,Clear everything on error — user loses partial response,Show partial text + 'Stream interrupted. [Retry from here]',Error: clear chat and show 'Something went wrong',Critical,maintains-trust,n/a,
