No,Category,Pattern_Name,Description,Duration,Easing,CSS_Code,JS_Code,Trigger,Do,Don't,Severity,Performance_Impact,Accessibility_Note,Docs_URL
1,Micro-interaction,Button Press,Subtle scale on click for tactile feedback,150ms,ease-out,transform: scale(0.97),el.animate([{transform:'scale(0.97)'}]),click,Use transform for GPU acceleration,Animate width/height causing layout shift,High,Low,Respect prefers-reduced-motion,https://web.dev/animations-guide/
2,Micro-interaction,Hover Lift,Card lifts on hover with shadow deepening,200ms,ease,transform: translateY(-2px); box-shadow: 0 8px 25px rgba(0 0 0/0.15),,hover,Combine transform + shadow for depth,Apply to every element — use selectively,Medium,Low,Ensure focus-visible matches hover style,https://developer.mozilla.org/en-US/docs/Web/CSS/:hover
3,Micro-interaction,Toggle Switch,Smooth thumb slide with color transition,250ms,cubic-bezier(0.4 0 0.2 1),transition: transform 250ms cubic-bezier(0.4 0 0.2 1),,click,Animate background-color + transform together,Snap without transition — feels broken,High,Low,Add aria-checked state change,https://www.w3.org/WAI/ARIA/apd/role/switch/
4,Micro-interaction,Ripple Effect,Material-style touch ripple from press point,400ms,ease-out,background: radial-gradient(circle at var(--x) var(--y)),createRipple(e.clientX e.clientY),pointerdown,Use CSS custom properties for position,Use JS-heavy canvas ripples — GPU overhead,Medium,Low,Purely decorative — no a11y impact,https://m3.material.io/develop/web
5,Entrance,Fade In Up,Content fades in while sliding up 20px,500ms,cubic-bezier(0 0 0.2 1),opacity:0; transform:translateY(20px) → opacity:1; transform:translateY(0),IntersectionObserver + classList.add,scroll-into-view,Use IntersectionObserver for performance,Use scroll event listeners — cause jank,High,Low,Disable for prefers-reduced-motion,https://developer.mozilla.org/en-US/docs/Web/API/Intersection_Observer_API
6,Entrance,Scale In,Element scales from 0.8 to 1 with fade,400ms,cubic-bezier(0.34 1.56 0.64 1),transform: scale(0.8) → scale(1); opacity: 0 → 1,,mount/appear,Use will-change: transform sparingly,Apply will-change to many elements at once,Medium,Low,Skip for prefers-reduced-motion,
7,Entrance,Stagger Children,Sequential fade-in of list items with delay,300ms per item,ease-out,animation-delay: calc(var(--i) * 80ms),children.forEach((el i) => el.style.animationDelay = i*80+'ms'),page-load,Cap at 5-8 items max stagger,Stagger 50+ items — feels frozen,High,Medium,Ensure content accessible before animation completes,
8,Entrance,Slide In From Edge,Panel or drawer slides in from side,300ms,cubic-bezier(0.32 0.72 0 1),transform: translateX(-100%) → translateX(0),,trigger-click,Use transform not left/right properties,Animate left/right — causes layout recalc,High,Low,Add aria-expanded and focus trap,
9,Exit,Fade Out Down,Content fades out while sliding down,200ms,ease-in,opacity:1 → 0; transform:translateY(0) → translateY(10px),,unmount/remove,Exit faster than entrance (60-70% duration),Make exit animation same length as entrance,Medium,Low,Remove from DOM after animation ends,
10,Exit,Collapse,Accordion-style height collapse with fade,250ms,ease-in-out,max-height + overflow:hidden + opacity,,click-toggle,Animate max-height not height,Animate height directly — needs layout calc each frame,High,Medium,Announce expanded/collapsed via aria-expanded,
