No,Category,Pattern_Name,Description,Error_Type,Do,Don't,Code_Good,Code_Bad,Severity,Recovery_Action,User_Emotion,Docs_URL
1,Error Page,404 Not Found,Custom 404 page with navigation help and search,HTTP 404,Show friendly message + search bar + popular links + home button,Show default server 404 or blank page,Custom 404: illustration + 'Page not found' + search + recent links,Default nginx 404 page — user leaves instantly,High,search + navigate,confused,
2,Error Page,500 Server Error,Custom 500 page with status and retry,HTTP 500,Show apology + auto-retry option + status page link,Show stack trace or generic error page,Custom 500: 'We hit a snag. Auto-retrying...' + [Check Status],Raw stack trace or 'Internal Server Error',Critical,auto-retry + status,frustrated,
3,Error Page,403 Forbidden,Access denied page with clear explanation and action,HTTP 403,Explain why access denied + login link or request access button,Show 'Forbidden' with no explanation — user confused,Custom 403: 'You need permission.' [Login] [Request Access],Default 'Forbidden' text — user gives up,High,login + request,blocked,
4,Error Page,Maintenance,Scheduled downtime page with ETA and updates,HTTP 503,Show expected return time + email notification signup + status feed,Show 'Site down' with no timeline — user anxiety,Maintenance page: 'Back at 3:00 PM EST' + [Notify Me],Generic 'Under maintenance' with no ETA,High,wait + subscribe,patient-if-informed,
5,Error Page,Rate Limited,Too many requests with clear wait time,HTTP 429,Show wait time countdown + suggestion to slow down,Show cryptic error code with no explanation,'Too many requests. Try again in 45 seconds. [countdown]','Error 429' — user has no idea what happened,High,wait,annoyed,
6,Empty State,No Data Yet,New user with no content created,zero-data,Show illustration + explanation + clear CTA to create first item,"Blank screen or 'No data' text — depressing",Illustration + 'Create your first project' + [+ New Project],"<p>No projects found.</p>" — dead end,High,create-first,uncertain,
7,Empty State,No Search Results,Search returns zero matches,zero-results,Show helpful suggestions + alternative searches + clear filters,Show only 'No results found' — dead end,"'No results for ""xyz"". Try: [suggestion1] [suggestion2] [Clear filters]'","<p>No results found</p>" with no help,High,refine-search,disappointed,
8,Empty State,Empty Cart,Shopping cart with no items,zero-items,Show illustration + 'Your cart is empty' + browse CTA + recently viewed,'Your cart is empty.' — period. No help.,Illustration + 'Start shopping' + [Browse Popular] + recently viewed,'Cart is empty' text + nothing else,Medium,browse,undecided,
9,Empty State,No Notifications,Notification center with nothing yet,zero-notifications,Show calm message + explain what triggers notifications,'No notifications' in a sad empty box,"'All caught up! You'll see updates here when your team comments.'","<ul></ul>" — literally empty list,Low,none,neutral,
10,Empty State,No Permissions,User lacking access to a feature,access-denied,Explain what they're missing + how to get access + who to contact,"'You don't have access' with no path forward","'This feature is available on Pro plan.' [Upgrade] [Contact Admin]","'Access denied' — user gives up",High,upgrade + contact,blocked,
