STT	Style Category	AI Prompt Keywords (Copy-Paste Ready)	CSS/Technical Keywords	Implementation Checklist	Design System Variables	AI Compatibility	Performance Budget	Accessibility Tier	Best For (Product Types)	Dark Mode CSS	Dark Mode Variables	Agent Readiness
1	Minimalism & Swiss Style	Design a minimalist landing page. Use: white space, geometric layouts, sans-serif fonts, high contrast, grid-based structure, essential elements only. Avoid shadows and gradients. Focus on clarity, functionality, and content hierarchy. Optimize for fast loading and AI-generated content blocks.	display: grid; gap: 2rem; font-family: sans-serif; color: #000 or #FFF; max-width: 1200px; clean borders; no box-shadow; container queries for responsive	☐ Grid-based layout 12-16 columns ☐ Typography hierarchy clear ☐ No unnecessary decorations ☐ WCAG AAA contrast verified ☐ Mobile responsive grid ☐ Container queries implemented ☐ Core Web Vitals optimized	--spacing: 2rem; --border-radius: 0px; --font-weight: 400-700; --shadow: none; --accent-color: single primary only; --content-width: min(1200px, 90vw)	High — clean structure ideal for AI content injection and dynamic layouts	LCP < 1.5s; CLS < 0.05; INP < 100ms; Total JS < 50KB	AA+ (AAA recommended)	SaaS, Documentation, Consulting, Legal, Banking, Government, Design Systems	color-scheme:dark; --bg:#0F172A; --text:#F1F5F9; --border:#334155; invert surfaces not brand	var(--dark-bg:#0F172A); var(--dark-surface:#1E293B); var(--dark-text:#F1F5F9); var(--dark-accent: brand+10%)	5/5 grid+clean=perfect AI injection
2	Neumorphism	Create a neumorphic UI with soft 3D effects. Use light pastels, rounded corners (12-16px), subtle soft shadows (multiple layers), no hard lines, monochromatic color scheme with light/dark variations. Embossed/debossed effect on interactive elements. Ensure sufficient contrast for accessibility.	border-radius: 12-16px; box-shadow: -5px -5px 15px rgba(0,0,0,0.1), 5px 5px 15px rgba(255,255,255,0.8); background: linear-gradient(145deg, color1, color2); transform: scale on press; color-contrast: 4.5:1+	☐ Rounded corners 12-16px consistent ☐ Multiple shadow layers (2-3) ☐ Pastel color verified ☐ Monochromatic palette checked ☐ Press animation smooth 150ms ☐ Contrast ratio 4.5:1+ verified ☐ Focus states visible	--border-radius: 14px; --shadow-soft-1: -5px -5px 15px; --shadow-soft-2: 5px 5px 15px; --color-light: #F5F5F5; --color-primary: single pastel; --focus-ring: 3px solid accent	Medium — works for form-heavy AI interfaces with clear input states	LCP < 2.5s; CLS < 0.1; INP < 150ms; Shadow renders < 16ms	AA (requires careful contrast management)	Healthcare, Mental Health, Senior Care, Beauty/Spa, Dental	color-scheme:dark; --bg:#1E1E1E; shadows:rgba(0,0,0,0.7)+rgba(60,60,60,0.3); pastels darken 20%	var(--dark-bg:#1E1E1E); var(--dark-shadow-dark:0.7); var(--dark-shadow-light:0.3); var(--dark-pastel:darken20%)	3/5 shadow complexity limits dynamic theming
3	Glassmorphism	Design a glassmorphic interface with frosted glass effect. Use backdrop blur (10-20px), translucent overlays (rgba 10-30% opacity), vibrant background colors, subtle borders, light source reflection, layered depth. Ensure text readability over blurred backgrounds. Support dark/light mode switching.	backdrop-filter: blur(15px); background: rgba(255,255,255,0.15); border: 1px solid rgba(255,255,255,0.2); -webkit-backdrop-filter: blur(15px); z-index layering; @media (prefers-color-scheme)	☐ Backdrop-filter blur 10-20px ☐ Translucent white 15-30% opacity ☐ Subtle border 1px light ☐ Vibrant background verified ☐ Text contrast 4.5:1 checked ☐ Fallback for no backdrop-filter ☐ Dark/light mode tested	--blur-amount: 15px; --glass-opacity: 0.15; --border-color: rgba(255,255,255,0.2); --background: vibrant color; --text-color: adaptive; --fallback-bg: solid color	High — layered depth works well for AI overlays, floating panels, and contextual suggestions	LCP < 2.5s; CLS < 0.1; Blur render < 8ms; GPU compositing required	AA (text over glass needs careful contrast)	Fintech, Smart Home, Spatial Computing, Hotel, Conference, Real Estate	color-scheme:dark; bg:rgba(0,0,0,0.25); border:rgba(255,255,255,0.1); blur unchanged; vibrant bg darkened	var(--dark-glass:rgba(0,0,0,0.25)); var(--dark-border:rgba(255,255,255,0.1)); var(--dark-vibrant:darken40%)	4/5 layered panels ideal for AI overlays
4	Brutalism	Create a brutalist design with raw, unpolished, stark aesthetic. Use pure primary colors (red, blue, yellow), black & white, no smooth transitions (instant), sharp corners, bold large typography, visible grid lines, system fonts, intentional asymmetry. Prioritize content over decoration.	border-radius: 0px; transition: none; font-family: system-ui or monospace; font-weight: 700+; border: 2-4px solid; colors: #FF0000, #0000FF, #FFFF00, #000, #FFF; mix-blend-mode for overlaps	☐ No border-radius (0px) ☐ No transitions (instant) ☐ Bold typography (700+) ☐ Pure primary colors used ☐ Visible grid/borders ☐ Asymmetric layout intentional ☐ System fonts only (fast load)	--border-radius: 0px; --transition-duration: 0s; --font-weight: 700-900; --colors: primary only; --border-style: visible; --grid-visible: true; --font: system-ui	Low — raw aesthetic conflicts with polished AI interfaces; use for creative/experimental AI tools	LCP < 1.0s; CLS < 0.05; Total CSS < 20KB; Zero JS animations	AA (high contrast inherent)	Creative Agency, Marketing Agency, Portfolio, Coding Bootcamp	Already dark-native; bg:#000; border:3px solid #FFF; stark contrast preserved	Inherently dark; no dark vars needed; same tokens	2/5 raw aesthetic limits polished AI content
5	3D & Hyperrealism	Build an immersive 3D interface using realistic textures, 3D models (Three.js/React Three Fiber), complex shadows, realistic lighting, parallax scrolling (3-5 layers), physics-based motion. Include skeuomorphic elements with tactile detail. Optimize for WebGPU where available.	transform: translate3d; perspective: 1000px; WebGL/WebGPU canvas; Three.js/R3F; box-shadow: complex multi-layer; filter: drop-shadow(); will-change: transform; loading=lazy for 3D assets	☐ WebGL/Three.js integrated ☐ 3D models optimized (glTF/draco) ☐ Parallax 3-5 layers ☐ Realistic lighting verified ☐ Complex shadows rendered ☐ Physics animation 300-400ms ☐ WebGPU fallback to WebGL ☐ Loading states for 3D	--perspective: 1000px; --parallax-layers: 5; --lighting-intensity: realistic; --shadow-depth: 20-40%; --animation-duration: 300-400ms; --3d-format: glTF	Medium — useful for digital twins, product configurators, and spatial AI visualization	LCP < 3.0s; 3D FPS > 30; Asset budget < 5MB; Progressive loading required	A (complex visuals may challenge accessibility)	Gaming, Automotive, Architecture, Space Tech, Digital Twin, Construction	color-scheme:dark; WebGL lighting shift; ambient occlusion up; shadow 40%; env-map darker	var(--dark-ambient:increased); var(--dark-shadow:40%); var(--dark-env:night); var(--dark-bg:#080808)	3/5 3D complexity needs WebGL knowledge
6	Vibrant & Block-based	Design an energetic, vibrant interface with bold block layouts, geometric shapes, high color contrast, large typography (32px+), animated background patterns, duotone effects. Use 4-6 contrasting colors from complementary/triadic schemes. Scroll-snap for section navigation.	display: grid; gap: 48px+; font-size: clamp(24px, 4vw, 48px); background: animated patterns; color: vibrant; animation: continuous pattern; scroll-snap-type: y mandatory	☐ Block layout with 48px+ gaps ☐ Large typography 32px+ ☐ 4-6 vibrant colors max ☐ Animated patterns active ☐ Scroll-snap enabled ☐ High contrast verified (7:1+) ☐ Fluid typography (clamp)	--block-gap: 48px; --typography-size: clamp(24px, 4vw, 48px); --color-palette: 4-6 vibrant; --animation: continuous pattern; --contrast-ratio: 7:1+; --scroll-snap: mandatory	Medium — bold sections work for AI feature showcases and comparison blocks	LCP < 2.0s; CLS < 0.1; Animation FPS > 60; CSS animations preferred	AA+ (high contrast inherent)	E-commerce, Startup, Creator Economy, Sports, Event Management, Subscription Box	color-scheme:dark; bg:#0F172A; blocks:saturated vibrant; text:#F8FAFC; contrast 7:1+	var(--dark-bg:#0F172A); var(--dark-block:saturated); var(--dark-text:#F8FAFC); var(--dark-contrast:7:1+)	4/5 bold blocks=easy AI section generation
7	Dark Mode (OLED)	Create an OLED-optimized dark interface with deep black (#000000), dark grey (#121212), accent colors. Use minimal glow effects, vibrant neon accents, high contrast text (15:1+). Optimize for eye comfort, OLED power saving, and extended viewing sessions. Support system dark mode preference.	background: #000000 or #121212; color: #FFFFFF or #E0E0E0; text-shadow: 0 0 10px neon (sparingly); color-scheme: dark; @media (prefers-color-scheme: dark); scrollbar-color: dark	☐ Deep black #000000 or #121212 ☐ Vibrant neon accents used ☐ Text contrast 15:1+ ☐ Minimal glow effects ☐ OLED power optimization ☐ No white backgrounds ☐ System dark mode respected ☐ Scrollbar styled dark	--bg-black: #000000; --bg-dark-grey: #121212; --text-primary: #FFFFFF; --accent-neon: vibrant; --glow-effect: minimal; --oled-optimized: true; --scrollbar: dark	High — dark mode is standard for AI dashboards, code tools, and monitoring interfaces	LCP < 2.0s; CLS < 0.05; Glow renders < 8ms; Reduced paint area	AAA (high contrast natural)	Developer Tools, Cybersecurity, Music Streaming, Video Streaming, Analytics, Coding Bootcamp	Already OLED-native; extend pure-black #000; scrollbar dark; selection neon	Already primary dark; var(--oled:#000); var(--surface:#0A0A0A); var(--neon:enhanced); var(--selection:neon)	5/5 dark mode IS the AI dashboard default
8	Accessible & Ethical	Design with WCAG AAA compliance. Include: high contrast (7:1+), large text (16px+), keyboard navigation, screen reader compatibility, focus states (3-4px ring), semantic HTML, ARIA labels, skip links, reduced motion support, 48x48px touch targets, voice navigation support.	color-contrast: 7:1+; font-size: 16px+; outline: 3-4px on :focus-visible; aria-label; role; @media (prefers-reduced-motion: reduce); touch-target: 48x48px; :focus-within styling	☐ WCAG AAA verified ☐ 7:1+ contrast checked ☐ Keyboard navigation tested ☐ Screen reader tested (NVDA/VoiceOver) ☐ Focus visible 3-4px ☐ Semantic HTML used ☐ Touch targets 48x48px ☐ Voice nav tested ☐ Reduced motion respected	--contrast-ratio: 7:1; --font-size-min: 16px; --focus-ring: 3-4px; --touch-target: 48x48px; --wcag-level: AAA; --keyboard-accessible: true; --voice-nav: supported	Very High — essential for AI-powered accessibility tools and inclusive AI interfaces	LCP < 2.0s; CLS < 0.05; INP < 100ms; No layout shifts on interaction	AAA (by definition)	Government, Healthcare, Banking, Senior Care, Non-profit, Education, Legal	color-scheme:dark; bg:#121212; text:#F5F5F5; contrast 7:1+ maintained; focus-ring light 3px	var(--dark-bg:#121212); var(--dark-text:#F5F5F5); var(--dark-contrast:7:1+); var(--dark-focus:light-ring)	5/5 accessibility-first=universal AI interface
9	Claymorphism	Design a playful, toy-like interface with soft 3D, chunky elements, bubbly aesthetic, rounded edges (16-24px), thick borders (3-4px), double shadows (inner + outer), pastel colors, smooth bounce animations. Ideal for children's apps, onboarding flows, and creative tools.	border-radius: 16-24px; border: 3-4px solid; box-shadow: inset -2px -2px 8px, 4px 4px 8px; background: pastel-gradient; animation: cubic-bezier(0.34, 1.56, 0.64, 1)	☐ Border-radius 16-24px ☐ Thick borders 3-4px ☐ Double shadows (inner+outer) ☐ Pastel colors used ☐ Soft bounce animations ☐ Playful interactions ☐ Touch-friendly targets 48px+	--border-radius: 20px; --border-width: 3-4px; --shadow-inner: inset -2px -2px 8px; --shadow-outer: 4px 4px 8px; --color-palette: pastels; --animation: bounce; --touch-target: 48px	Medium — playful style suits AI onboarding, educational AI, and gamified interfaces	LCP < 2.0s; CLS < 0.1; Animation budget: 5 concurrent max; CSS animations only	AA (ensure pastel contrast)	Educational App, Language Learning, Childcare, Pet Tech, Adaptive Learning	color-scheme:dark; bg:#1A1A2E; pastels muted 30%; border lighter shade; inner-glow subtle	var(--dark-bg:#1A1A2E); var(--dark-pastel:muted30%); var(--dark-border:lighter); var(--dark-glow:subtle)	3/5 playful; best for educational AI agents
10	Aurora UI	Create a vibrant gradient interface inspired by Northern Lights with mesh gradients, smooth color blends, flowing animations. Use complementary color pairs, flowing background gradients, subtle continuous animations (8-12s loops), iridescent effects. Ensure text remains readable over gradients.	background: conic-gradient or radial-gradient; animation: @keyframes gradient 8-12s infinite; background-size: 400% 400%; filter: saturate(1.2); mix-blend-mode: screen; color: high contrast over gradient	☐ Mesh/flowing gradients applied ☐ 8-12s animation loop ☐ Complementary colors used ☐ Smooth color transitions ☐ Iridescent effect subtle ☐ Text contrast verified over all gradient states ☐ GPU composited	--gradient-colors: complementary pairs; --animation-duration: 8-12s; --blend-mode: screen; --color-saturation: 1.2; --effect: iridescent; --text-contrast: verified over gradient	Medium — gradient backgrounds work for AI-powered creative tools and immersive experiences	LCP < 2.5s; CLS < 0.1; Gradient animation FPS > 60; GPU compositing required	AA (text over gradients needs solid backing)	Travel, Dating, Creator Economy, Wedding, NFT/Web3, Generative Art	color-scheme:dark; gradient on #0A0A20; iridescent brighter; text solid-bg pill	var(--dark-base:#0A0A20); var(--dark-gradient:deeper); var(--dark-iridescent:brighter); var(--dark-text-pill:solid)	3/5 gradient complexity; agent needs GPU awareness
