No	Category	Issue	Keywords	Platform	Description	Do	Don't	Code Example Good	Code Example Bad	Severity	React Version	Impact Score	Auto-fixable
1	Async Waterfall	Defer Await	async await defer branch	React 19 / Next.js 15	Move await into branches where actually used to avoid blocking unused code paths	Move await operations into branches where they're needed	Await at top of function blocking all branches	if (skip) return { skipped: true }; const data = await fetch()	const data = await fetch(); if (skip) return { skipped: true }	Critical	18+	9/10	ESLint rule
2	Async Waterfall	Promise.all Parallel	promise all parallel concurrent	React 19 / Next.js 15	Execute independent async operations concurrently using Promise.all()	Use Promise.all() for independent operations	Sequential await for independent operations	const [user, posts] = await Promise.all([fetchUser(), fetchPosts()])	const user = await fetchUser(); const posts = await fetchPosts()	Critical	18+	9/10	ESLint rule
3	Async Waterfall	Dependency Parallelization	dependency parallel partial	React 19 / Next.js 15	Start dependent operations as early as possible; use Promise.all with dependency chains	Start each task at earliest possible moment; chain only true dependencies	Wait for unrelated data before starting dependent fetch	const userP = fetchUser(); const configP = fetchConfig(); const user = await userP; const profile = await fetchProfile(user.id)	const user = await fetchUser(); const config = await fetchConfig(); const profile = await fetchProfile(user.id)	Critical	18+	8/10	Manual
4	Async Waterfall	API Route Optimization	api route waterfall promise	Next.js 15	In API routes start independent operations immediately even if not awaited yet	Start promises early and await late	Sequential awaits in API handlers	const sessionP = auth(); const configP = fetchConfig(); const session = await sessionP	const session = await auth(); const config = await fetchConfig()	Critical	18+	8/10	Manual
5	Async Waterfall	Suspense Boundaries	suspense streaming boundary	React 19 / Next.js 15	Use Suspense to show wrapper UI faster while data loads; enables streaming SSR	Wrap async components in Suspense boundaries with meaningful fallbacks	Await data blocking entire page render	<Suspense fallback={<Skeleton />}><DataDisplay /></Suspense>	const data = await fetchData(); return <DataDisplay data={data} />	High	18+	8/10	Manual
6	Async Waterfall	use() Hook for Promises	use hook promise suspense	React 19	Use the use() hook to read promises in render; integrates with Suspense automatically	Use use(promise) to unwrap async data in components	Manual promise handling with useEffect + useState	const data = use(fetchDataPromise); return <Display data={data} />	const [data, setData] = useState(); useEffect(() => { fetch().then(setData) }, [])	High	19+	7/10	Codemod
7	Bundle Size	Barrel Imports	barrel import direct path tree	React 19 / Next.js 15	Import directly from source files instead of barrel files to avoid loading unused modules	Import directly from source path; use optimizePackageImports in next.config	Import from barrel/index files	import Check from 'lucide-react/dist/esm/icons/check'	import { Check } from 'lucide-react'	Critical	18+	9/10	ESLint rule + next.config
8	Bundle Size	Dynamic Imports	dynamic import lazy next	React 19 / Next.js 15	Use next/dynamic or React.lazy to lazy-load large components not needed on initial render	Use dynamic() for heavy components; set ssr: false for client-only	Import heavy components at top level	const Monaco = dynamic(() => import('./monaco'), { ssr: false })	import { MonacoEditor } from './monaco-editor'	Critical	18+	9/10	Manual
9	Bundle Size	Defer Third Party	analytics defer third-party	React 19 / Next.js 15	Load analytics and logging after hydration since they don't block interaction	Load non-critical scripts after hydration; use next/script strategy	Include analytics in main bundle	<Script src="analytics.js" strategy="lazyOnload" />	import { Analytics } from '@vercel/analytics/react'	Medium	18+	6/10	Manual
10	Bundle Size	Conditional Loading	conditional module lazy feature	React 19 / Next.js 15	Load large data or modules only when a feature is activated	Dynamic import when feature enabled; use import() in event handlers	Import large modules unconditionally	useEffect(() => { if (enabled) import('./heavy.js') }, [enabled])	import { heavyData } from './heavy.js'	High	18+	7/10	Manual
