No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Component,Use standalone components,All new components should be standalone — no NgModule required,Set standalone: true in @Component decorator,Create new NgModules for simple components,"@Component({ standalone: true, imports: [CommonModule] })","@NgModule({ declarations: [MyComp] })",Critical,https://angular.dev/guide/components/importing,auto-detect,none,none,none,standard
2,Component,Use signals for state,Prefer signals over BehaviorSubject for reactive state,Use signal() and computed() for component state,Use BehaviorSubject for simple local state,"count = signal(0); double = computed(() => this.count() * 2)","count = new BehaviorSubject(0); count$ = this.count.asObservable()",High,https://angular.dev/guide/signals,auto-detect,none,none,agent-aware,standard
3,Component,Use input/output signals,Use signal-based inputs and outputs (Angular 17+),Use input() and output() functions instead of decorators,"Use @Input() and @Output() decorators in new components","name = input<string>(); nameChange = output<string>()","@Input() name: string; @Output() nameChange = new EventEmitter()",High,https://angular.dev/guide/signals/inputs,auto-detect,none,none,agent-aware,standard
4,Component,Small focused components,Keep components under 200 lines with single responsibility,Break large components into smaller child components,Create god components handling multiple responsibilities,<app-user-avatar> <app-user-name> <app-user-actions>,<app-user-profile> handling avatar + name + actions + settings,High,,auto-detect,none,none,none,standard
5,Component,Use OnPush change detection,All components should use ChangeDetectionStrategy.OnPush,Set changeDetection: ChangeDetectionStrategy.OnPush,Use default change detection — causes excessive re-renders,"@Component({ changeDetection: ChangeDetectionStrategy.OnPush })",Default change detection on complex tree,Critical,,auto-detect,none,none,none,critical
6,Template,Use control flow syntax,Use @if @for @switch instead of *ngIf *ngFor (Angular 17+),Use built-in control flow: @if @for @switch @defer,"Use structural directives *ngIf *ngFor in new code","@if (user) { <p>{{user.name}}</p> }","*ngIf=""user""><p>{{user.name}}</p>",High,https://angular.dev/guide/templates/control-flow,auto-detect,none,none,agent-aware,standard
7,Template,Use @defer for lazy loading,Defer heavy components until needed with @defer blocks,Use @defer with triggers for below-fold content,Eagerly load all components regardless of visibility,"@defer (on viewport) { <app-heavy-chart/> } @placeholder { <skeleton/> }",Always loading heavy components eagerly,High,https://angular.dev/guide/defer,auto-detect,none,none,agent-aware,critical
8,Template,Use track in @for loops,Always provide track function in @for to optimize rendering,Specify track expression for list identity tracking,Omit track — Angular warns and performance suffers,"@for (item of items; track item.id) { <app-card [data]=""item""/> }","@for (item of items) { <div>{{item.name}}</div> }",Critical,,auto-detect,none,none,none,critical
9,Routing,Use lazy loading for routes,Lazy load feature routes with loadComponent/loadChildren,Use loadComponent for standalone component routes,Import all route components eagerly,"{ path: 'admin', loadComponent: () => import('./admin.component') }","{ path: 'admin', component: AdminComponent }",High,https://angular.dev/guide/routing/lazy-loading,auto-detect,none,none,none,critical
10,Routing,Use route guards as functions,Write route guards as functional guards (Angular 15+),Use inject() in functional guards instead of class guards,"Create class-based CanActivate guards","export const authGuard: CanActivateFn = () => inject(AuthService).isLoggedIn()","@Injectable() class AuthGuard implements CanActivate {}",Medium,https://angular.dev/guide/routing/route-guards,auto-detect,none,basic,none,standard
11,Routing,Use typed router,Use Router.navigate with type-safe route params,Use RouterLink with typed paths and param objects,Build route strings manually with concatenation,"this.router.navigate(['/users', userId])","this.router.navigate(['/users/' + userId])",Medium,,auto-detect,none,none,none,standard
12,State,Use signal store for shared state,Use @ngrx/signals or custom signal-based stores for shared state,Create signal-based stores for cross-component state,Use RxJS BehaviorSubjects for everything,"export const CounterStore = signalStore({ count: signal(0) })","@Injectable() class Store { count$ = new BehaviorSubject(0) }",High,,auto-detect,none,none,agent-aware,standard
13,State,Use effect() for side effects,Use effect() to run side effects when signals change,Use effect() for logging and API calls on signal changes,"Manually subscribe to observables for signal-derived effects","effect(() => { console.log('Count:', this.count()) })","this.count$.subscribe(val => console.log(val)) // leak risk",Medium,https://angular.dev/guide/signals#effects,auto-detect,none,none,none,standard
14,State,Avoid unnecessary subscriptions,Prefer async pipe or toSignal() over manual subscribe,Use toSignal() to convert observables to signals,Call .subscribe() manually and forget to unsubscribe,"data = toSignal(this.http.get('/api/data'))","this.http.get('/api/data').subscribe(d => this.data = d)",High,,auto-detect,none,none,agent-aware,standard
15,DI,Use inject() function,Prefer inject() function over constructor injection,Use inject() in components and functions for cleaner code,Constructor-inject everything with long parameter lists,"private http = inject(HttpClient); private router = inject(Router)","constructor(private http: HttpClient, private router: Router, ...)",Medium,https://angular.dev/guide/di/dependency-injection,auto-detect,none,none,agent-aware,standard
16,DI,Use InjectionToken for config,Use InjectionToken for configuration values,Create typed InjectionTokens for app configuration,Use string tokens or magic values for config,"export const API_URL = new InjectionToken<string>('API_URL')","providers: [{ provide: 'API_URL', useValue: '...' }]",Medium,,auto-detect,none,none,none,standard
17,Forms,Use reactive forms for complex inputs,Use FormBuilder with typed FormGroups,Use Reactive Forms with strong typing for complex forms,Use template-driven forms for complex validation logic,"form = this.fb.group({ email: ['', [Validators.required, Validators.email]] })","<input [(ngModel)]=""email""> for complex form with 10 fields",High,https://angular.dev/guide/forms/reactive-forms,auto-detect,none,basic,none,standard
18,Forms,Typed reactive forms,Use strictly typed FormGroup with NonNullableFormBuilder,Use NonNullableFormBuilder for type-safe form values,Use untyped FormGroup — runtime errors on typos,"form = inject(NonNullableFormBuilder).group({ name: '' })","new FormGroup({ name: new FormControl() }) // untyped",High,,auto-detect,none,none,agent-aware,standard
19,HTTP,Use HttpClient with typed responses,Always type HTTP responses with interfaces,Define response interfaces and type HttpClient calls,Use any or untyped responses,"this.http.get<User[]>('/api/users')","this.http.get('/api/users') // returns any",High,,auto-detect,none,none,agent-aware,standard
20,HTTP,Use interceptors as functions,Write HTTP interceptors as functions (Angular 15+),Use functional interceptors with provideHttpClient,Create class-based interceptors,"export const authInterceptor: HttpInterceptorFn = (req, next) => { ... }","@Injectable() class AuthInterceptor implements HttpInterceptor {}",Medium,,auto-detect,none,basic,none,standard
