No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Architecture,Use content collections,Define typed content schemas with content collections,Use defineCollection() with zod schemas for type-safe content,Manually parse frontmatter from markdown files,"const blog = defineCollection({ schema: z.object({ title: z.string() }) })","const posts = Astro.glob('./posts/*.md') // untyped",High,https://docs.astro.build/en/guides/content-collections/,auto-detect,none,none,agent-aware,standard
2,Architecture,Use file-based routing,Pages in src/pages/ auto-generate routes,Create .astro files in src/pages/ for automatic routing,Manually configure routes when file-based works,"src/pages/blog/[slug].astro → /blog/my-post","Manual route config for simple page routes",High,https://docs.astro.build/en/guides/routing/,auto-detect,none,none,none,standard
3,Architecture,Use layouts,Create reusable layouts with <slot/> for consistent page structure,Create base layout with head/nav/footer and use <slot/>,Duplicate header/footer in every page file,"<Layout><h1>My Page</h1><slot/></Layout>","Copy-paste nav and footer in every .astro file",High,https://docs.astro.build/en/concepts/layouts/,auto-detect,none,none,none,standard
4,Architecture,Islands architecture,Use client:* directives for interactive components only,Keep most content static — add interactivity only where needed,Make entire pages interactive — defeats Astro's purpose,"<Counter client:visible /> // loads JS only when visible","<Counter client:load /> on every component",Critical,https://docs.astro.build/en/concepts/islands/,auto-detect,none,none,agent-aware,critical
5,Component,Use .astro for static,Write static components as .astro files — zero JS shipped,Use .astro components for anything without client interactivity,Use React/Vue for static content — ships unnecessary JS,"<Card title={post.title} /> // .astro = 0 JS","<Card title={post.title} client:load /> for static card",High,,auto-detect,none,none,none,critical
6,Component,Choose right client directive,Pick correct hydration strategy: load/idle/visible/media/only,Use client:visible for below-fold and client:idle for non-critical,Default to client:load for everything — negates Astro benefits,"<HeavyChart client:visible /> // hydrates when scrolled into view","<HeavyChart client:load /> // hydrates immediately on page load",Critical,https://docs.astro.build/en/reference/directives-reference/#client-directives,auto-detect,none,none,agent-aware,critical
7,Component,Use framework components sparingly,Only use React/Vue/Svelte when you need client interactivity,Import framework components only for interactive islands,Build entire UI in React and render via Astro — overhead,"<ReactForm client:idle /> for complex interactive form","Entire page built in React with client:load",High,,auto-detect,none,none,none,critical
8,Component,Pass data via props not stores,Pass data to islands via props — not shared stores,Serialize data as props to island components,Use global state stores across islands — complex hydration,"<Cart items={cartItems} client:visible />","useGlobalStore() across multiple islands — hydration mismatch",Medium,,auto-detect,none,none,none,standard
9,Data,Use getCollection(),Fetch typed content collection data with getCollection(),Use getCollection() and getEntry() for content queries,"Manually read files with fs or glob","const posts = await getCollection('blog')","const posts = await Astro.glob('./blog/*.md')",High,https://docs.astro.build/en/reference/modules/astro-content/,auto-detect,none,none,agent-aware,standard
10,Data,Use Astro.props,Access component props with Astro.props in frontmatter,Destructure props from Astro.props with TypeScript types,Access props without type checking,"const { title, date } = Astro.props as Props","const title = Astro.props.title // untyped",Medium,,auto-detect,none,none,agent-aware,standard
11,Data,Use API routes,Create JSON endpoints with src/pages/api/*.ts,Use API routes for form handlers and data endpoints,Build a separate backend server for simple API needs,"export const GET: APIRoute = ({ params }) => new Response(JSON.stringify(data))","Separate Express server for simple API endpoint",Medium,https://docs.astro.build/en/guides/endpoints/,auto-detect,none,none,none,standard
12,SSR,Use hybrid rendering,Mix static and server-rendered pages with output: hybrid,Use output: 'hybrid' and mark dynamic pages with prerender = false,Force all pages to SSR when most are static,"export const prerender = false // only on dynamic pages","output: 'server' when 90% of pages could be static",High,https://docs.astro.build/en/guides/on-demand-rendering/,auto-detect,none,none,none,critical
13,SSR,Use adapters for deployment,Install appropriate adapter for your hosting platform,Use official adapter: @astrojs/vercel @astrojs/netlify @astrojs/node,Deploy SSR without adapter — breaks in production,"npx astro add vercel // auto-configures adapter","Deploy SSR to Vercel without @astrojs/vercel adapter",High,https://docs.astro.build/en/guides/deploy/,auto-detect,none,none,none,standard
14,SEO,Use ViewTransitions,Enable smooth page transitions with ViewTransitions,Add <ViewTransitions/> in head for SPA-like navigation,Skip — pages feel like full reloads,"<head><ViewTransitions/></head>","No view transitions — jarring full page reloads",High,https://docs.astro.build/en/guides/view-transitions/,auto-detect,none,none,none,standard
15,SEO,Use Astro SEO integration,Add meta tags and structured data for every page,Use @astrolib/seo or manual meta tags for all pages,Ship pages without meta descriptions or OG tags,"<SEO title={title} description={desc} openGraph={{...}} />","<title>My Site</title> with no description or OG tags",High,,auto-detect,none,none,none,standard
16,SEO,Generate sitemap,Auto-generate sitemap.xml with @astrojs/sitemap,Add @astrojs/sitemap integration for automatic sitemap,Skip sitemap — search engines miss pages,"import sitemap from '@astrojs/sitemap' // in astro.config",No sitemap.xml — Google misses half your pages,Medium,https://docs.astro.build/en/guides/integrations-guide/sitemap/,auto-detect,none,none,none,standard
17,Performance,Optimize images,Use astro:assets for automatic image optimization,Use <Image/> component from astro:assets for auto-optimization,Use raw <img> tags — no optimization,"import { Image } from 'astro:assets'; <Image src={hero} alt='Hero' />","<img src='/hero.jpg' /> // no optimization, no responsive",High,https://docs.astro.build/en/guides/images/,auto-detect,none,none,none,critical
18,Performance,Prefetch links,Enable link prefetching for faster navigation,Use prefetch integration for instant page navigation,Disable prefetch when bandwidth is a concern,"prefetch: { prefetchAll: true } // in astro.config","No prefetch — slow subsequent navigations",Medium,https://docs.astro.build/en/guides/prefetch/,auto-detect,none,none,none,critical
19,Performance,Minimize client JS,Monitor and minimize shipped JavaScript,Check bundle size — aim for <50KB JS for most pages,Ship large JS bundles for mostly-static content pages,"Most pages: 0KB JS. Interactive: <30KB","200KB+ JS bundle on a blog page",Critical,,auto-detect,none,none,none,critical
20,Styling,Use scoped styles,Astro component styles are scoped by default,Write styles in <style> tags — automatically scoped to component,Use global styles for component-specific styling,"<style>h1 { color: var(--primary) }</style> // scoped","<style is:global>h1 { color: red }</style> for one component",Medium,https://docs.astro.build/en/guides/styling/,token-based,none,none,none,standard
21,Styling,Use Tailwind integration,Add Tailwind CSS via official integration,Use @astrojs/tailwind for utility-first styling,Manually configure PostCSS and Tailwind,"npx astro add tailwind // auto-configures","Manual Tailwind setup with custom PostCSS config",Medium,,token-based,none,none,none,standard
