No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Widgets,Use StatelessWidget when possible,Immutable widgets are simpler and cheaper,StatelessWidget for static UI,StatefulWidget for everything,class MyWidget extends StatelessWidget,class MyWidget extends StatefulWidget (static),Medium,https://api.flutter.dev/flutter/widgets/StatelessWidget-class.html,not-applicable,none,none,none,standard
2,Widgets,Keep widgets small,Single responsibility principle,Extract widgets into smaller pieces,Large build methods,Column(children: [Header() Content()]),500+ line build method,Medium,,not-applicable,none,none,agent-aware,standard
3,Widgets,Use const constructors,Compile-time constant widgets skip rebuilds,const keyword on constructor and usage,Omit const on immutable widgets,const Text('Hello'),Text('Hello'),High,https://dart.dev/guides/language/effective-dart/usage#do-use-const-for-values-that-are-const,not-applicable,none,none,none,strict
4,Widgets,Use keys for list items,Keys help Flutter identify which items changed,Key on dynamic list children,Missing keys in lists,ListView(children: items.map((i) => Item(key: ValueKey(i.id)))),ListView without keys,Medium,https://api.flutter.dev/flutter/foundation/Key-class.html,not-applicable,none,none,none,standard
5,Widgets,Prefer composition over inheritance,Combine small widgets instead of extending,Compose widgets from smaller pieces,Extend widget classes,Widget wrapping other widgets,class MyButton extends ElevatedButton,Medium,,not-applicable,none,none,agent-aware,standard
6,State,Use proper state management,Choose approach based on complexity,Riverpod or Bloc for production apps,setState for complex state,ref.watch(counterProvider),setState everywhere,High,https://docs.flutter.dev/data-and-backend/state-mgmt/options,not-applicable,none,none,agent-aware,standard
7,State,Minimize StatefulWidget scope,Keep stateful area small,StatefulWidget only where state changes,Entire screen as StatefulWidget,StatefulWidget wrapping only the counter,"StatefulWidget for whole page",Medium,,not-applicable,none,none,none,strict
8,State,Use ValueNotifier for simple state,Lightweight reactive state for simple cases,ValueNotifier + ValueListenableBuilder,StatefulWidget for simple toggles,"ValueNotifier<bool>(false)","StatefulWidget for a toggle",Low,,not-applicable,none,none,none,standard
9,State,Use Riverpod for dependency injection,Type-safe provider-based state management,Riverpod for app-wide state and DI,Provider package or manual DI,"final counterProvider = StateNotifierProvider((ref) => Counter())","Provider.of<T>(context)",High,https://riverpod.dev/,not-applicable,ai-recommended,none,agent-optimized,standard
10,Performance,Use const widgets aggressively,Const widgets are cached and never rebuilt,const on every possible widget constructor,Non-const widgets that could be const,"const SizedBox(height: 16)","SizedBox(height: 16)",High,,not-applicable,none,none,none,critical
11,Performance,Use ListView.builder for long lists,Lazy construction of list items,ListView.builder for 20+ items,ListView with children for large lists,"ListView.builder(itemCount: items.length, itemBuilder: ...)","ListView(children: items.map(...))",High,https://api.flutter.dev/flutter/widgets/ListView/ListView.builder.html,not-applicable,none,none,none,critical
12,Performance,Avoid rebuilding unchanged subtrees,Prevent unnecessary widget rebuilds,Extract static subtrees as const widgets,Rebuilding entire tree on state change,const Header() above animated content,"Column with all children in setState",Medium,,not-applicable,none,none,none,critical
13,Performance,Use RepaintBoundary for animations,Isolate frequently painting widgets,RepaintBoundary around animated content,Let animations repaint parent,RepaintBoundary(child: AnimatedWidget()),AnimatedWidget inside complex tree,Medium,https://api.flutter.dev/flutter/widgets/RepaintBoundary-class.html,not-applicable,none,none,none,critical
14,Performance,Profile with DevTools,Use Flutter DevTools for optimization,Flutter DevTools for widget rebuilds and performance,Guessing at performance issues,DevTools Performance tab,print statements for profiling,Medium,https://docs.flutter.dev/tools/devtools,not-applicable,none,none,none,standard
15,Material3,Use Material 3 theme,Material 3 is the default design system,ThemeData with Material 3 color scheme,Material 2 or custom theme from scratch,"ThemeData(useMaterial3: true, colorSchemeSeed: Colors.blue)","ThemeData(primarySwatch: Colors.blue)",High,https://docs.flutter.dev/ui/design/material,token-based,none,none,none,standard
16,Material3,Use ColorScheme for colors,Semantic color tokens from Material 3,Theme.of(context).colorScheme for colors,Hardcoded Color values,"Theme.of(context).colorScheme.primary","Colors.blue",Medium,https://api.flutter.dev/flutter/material/ColorScheme-class.html,token-based,none,none,agent-aware,standard
