No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Setup,Use Tailwind v4 CSS-first config,Tailwind v4 uses CSS for configuration instead of JS,"@import 'tailwindcss'; @theme { }","tailwind.config.js (v3 legacy)","@import 'tailwindcss';","module.exports = { } in tailwind.config.js",High,https://tailwindcss.com/docs/configuration,not-applicable,none,none,none,standard
2,Setup,Use @theme for design tokens,Define custom tokens in CSS @theme block,@theme block for colors spacing fonts,JavaScript config for tokens,"@theme { --color-primary: #3b82f6; }","theme: { extend: { colors: {} } }",High,https://tailwindcss.com/docs/theme,token-based,none,none,agent-aware,standard
3,Setup,Use CSS import syntax,Single CSS import replaces plugin system,@import 'tailwindcss' as single entry,@tailwind directives (v3 legacy),"@import 'tailwindcss';","@tailwind base; @tailwind components; @tailwind utilities;",High,https://tailwindcss.com/docs/installation,not-applicable,none,none,none,standard
4,Animation,Use Tailwind animate utilities,Built-in animations are optimized and respect reduced-motion,animate-pulse animate-spin animate-ping,Custom @keyframes for simple effects,animate-pulse,@keyframes pulse {...},Medium,https://tailwindcss.com/docs/animation,not-applicable,none,none,none,standard
5,Animation,Respect reduced motion,Always check prefers-reduced-motion,motion-safe: and motion-reduce: variants,Ignore motion preferences,motion-safe:animate-bounce,animate-bounce without motion check,High,https://tailwindcss.com/docs/hover-focus-and-other-states#prefers-reduced-motion,not-applicable,none,none,none,standard
6,Animation,Use CSS transitions for micro-interactions,Smooth state changes with transition utilities,transition-colors transition-transform,Animations for simple hover effects,transition-colors duration-200,animate-* for hover states,Medium,https://tailwindcss.com/docs/transition-property,not-applicable,none,none,none,strict
7,Animation,Use transform for performant animations,GPU-accelerated properties avoid layout thrash,translate-x scale rotate,Animating width height top left margins,translate-y-2 on hover,top-* animation,Medium,https://tailwindcss.com/docs/translate,not-applicable,none,none,none,critical
8,Layout,Use Flexbox for 1D layouts,Flex for single-axis alignment,flex items-center justify-between,Float or inline-block for alignment,flex items-center gap-4,float-left + clearfix,Medium,https://tailwindcss.com/docs/display#flex,not-applicable,none,none,none,standard
9,Layout,Use Grid for 2D layouts,CSS Grid for complex layouts,grid grid-cols-* gap-*,Nested flexbox for grid layouts,grid grid-cols-3 gap-6,flex flex-wrap with width calculations,Medium,https://tailwindcss.com/docs/display#grid,not-applicable,none,none,none,standard
10,Layout,Use container for max-width,Consistent content width across breakpoints,container mx-auto for centered content,Custom max-width on every element,container mx-auto px-4,max-w-[1200px] mx-auto on many elements,Medium,https://tailwindcss.com/docs/container,not-applicable,none,none,none,standard
11,Layout,Use logical properties,Support LTR and RTL layouts,ms-* me-* ps-* pe-* for inline spacing,ml-* mr-* pl-* pr-* for i18n apps,ms-4 me-2,ml-4 mr-2 for internationalized app,Medium,https://tailwindcss.com/docs/margin#logical-properties,not-applicable,none,none,none,standard
12,Layout,Use gap instead of margin,Consistent spacing between children,gap-* in flex/grid containers,Margin on children for spacing,flex gap-4,flex > * + * { margin-left },Medium,https://tailwindcss.com/docs/gap,not-applicable,none,none,none,standard
13,Responsive,Mobile-first approach,Default styles for mobile then add breakpoints,Start with mobile styles then sm: md: lg:,Desktop-first with max-width queries,text-sm md:text-base lg:text-lg,lg:text-lg md:text-base text-sm,Medium,https://tailwindcss.com/docs/responsive-design,not-applicable,none,none,none,standard
