No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Components,Use pure composables,No side effects in composable functions,Pure composables with state hoisting,Side effects in composable body,"@Composable fun Greeting(name: String) { Text(text = name) }","@Composable fun Greeting() { val name = fetchName() }",High,https://developer.android.com/develop/ui/compose/mental-model,not-applicable,none,none,none,standard
2,Components,Keep composables small,Single responsibility per composable,Extract sub-composables at 30-50 lines,Large composable functions,Column { Header(); Content(); Footer() },500+ line composable,Medium,,not-applicable,none,none,agent-aware,standard
3,Components,Use Modifier parameter,Accept Modifier as first optional parameter,Modifier parameter for all public composables,Hardcoded sizes and padding,"fun Card(modifier: Modifier = Modifier)","fun Card() /* no modifier */",High,https://developer.android.com/develop/ui/compose/modifiers,not-applicable,none,none,agent-aware,standard
4,Components,Use slots pattern,Content slots for flexible composition,Slot parameters instead of fixed content,"Composables with hardcoded content","fun Card(content: @Composable () -> Unit)","fun Card(title: String, image: Int)",Medium,,not-applicable,none,none,agent-aware,standard
5,Components,Use CompositionLocal for DI,Ambient dependencies via CompositionLocal,CompositionLocalProvider for theme/config,Deep parameter passing,"val LocalTheme = compositionLocalOf { Theme() }","fun A(theme: Theme) calls B(theme: Theme)",Medium,https://developer.android.com/develop/ui/compose/compositionlocal,not-applicable,none,none,none,standard
6,State,Use remember for computation caching,Cache expensive computations in composition,remember for derived or computed values,Recomputing on every recomposition,"val filtered = remember(items, query) { items.filter { it.contains(query) } }","val filtered = items.filter {...} // every recomposition",High,https://developer.android.com/develop/ui/compose/state,not-applicable,none,none,none,strict
7,State,Use rememberSaveable for config changes,Persist state across configuration changes,rememberSaveable for screen rotation survival,remember for data that should survive rotation,"var count by rememberSaveable { mutableIntStateOf(0) }","var count by remember { mutableIntStateOf(0) }",High,,not-applicable,none,none,none,standard
8,State,Use StateFlow with collectAsState,ViewModel state exposed as StateFlow,StateFlow in ViewModel + collectAsStateWithLifecycle,LiveData or mutableStateOf in ViewModel,"val uiState by viewModel.uiState.collectAsStateWithLifecycle()","val uiState = viewModel.uiState.observeAsState()",High,,not-applicable,ai-optional,none,agent-optimized,standard
9,State,Use ViewModel for business state,Separate UI state from business logic,ViewModel for screen-level state,State in composable functions,"class HomeViewModel : ViewModel() { val uiState = MutableStateFlow(HomeUiState()) }","@Composable fun Home() { var data by remember { } }",High,https://developer.android.com/develop/ui/compose/state#viewmodel-state,not-applicable,none,none,agent-aware,standard
10,State,Use derivedStateOf for derived state,Compose-optimized derived values,derivedStateOf for filtered/sorted/computed values,remember with recalculation,"val hasError by remember { derivedStateOf { name.isEmpty() } }","val hasError = name.isEmpty() // recomposes always",Medium,,not-applicable,none,none,none,strict
11,Material3,Use Material 3 theme,Material Design 3 with dynamic colors,MaterialTheme with Material 3 components,Custom theme or Material 2,"MaterialTheme(colorScheme = dynamicColorScheme(context))","MaterialTheme(colors = lightColors())",High,https://developer.android.com/develop/ui/compose/designsystems/material3,token-based,none,none,none,standard
12,Material3,Use dynamic colors,User wallpaper-based theming on Android 12+,dynamicLightColorScheme/dynamicDarkColorScheme,Static color schemes on supported devices,"dynamicColorScheme(context)","Static lightColorScheme()",Medium,https://developer.android.com/develop/ui/compose/designsystems/material3#dynamic-color,auto-detect,none,none,none,standard
13,Material3,Use semantic color tokens,Material 3 color roles,MaterialTheme.colorScheme for all colors,Hardcoded color values,MaterialTheme.colorScheme.primary,"Color(0xFF3B82F6)",Medium,,token-based,none,none,agent-aware,standard
14,Material3,Use Material 3 typography,Type scale from Material 3,MaterialTheme.typography for text styles,Custom TextStyle everywhere,MaterialTheme.typography.headlineMedium,"TextStyle(fontSize = 24.sp)",Medium,,token-based,none,none,none,standard
15,DarkMode,Support dark theme with isSystemInDarkTheme,Automatic dark mode,isSystemInDarkTheme for theme switching,Force light theme,"val darkTheme = isSystemInDarkTheme()","MaterialTheme(colorScheme = lightColorScheme()) always",High,,auto-detect,none,none,none,standard
16,DarkMode,Preview both themes,Test in both appearances,@Preview with uiMode for dark mode,"Ship without dark testing","@Preview(uiMode = Configuration.UI_MODE_NIGHT_YES)","No dark mode preview",Medium,,auto-detect,none,none,none,standard
17,Performance,Use LazyColumn/LazyRow,Lazy composables for lists,LazyColumn for scrollable lists,Column with forEach for large lists,"LazyColumn { items(list) { Item(it) } }","Column { list.forEach { Item(it) } }",High,https://developer.android.com/develop/ui/compose/lists,not-applicable,none,none,none,critical
18,Performance,Use stable keys for lazy items,Prevent unnecessary recomposition,key parameter in LazyColumn items,No keys in list items,"items(list, key = { it.id }) { }","items(list) { } // no key",Medium,,not-applicable,none,none,none,strict
19,Performance,Use Immutable/Stable annotations,Help compiler skip recomposition,@Immutable for value classes @Stable for stable interfaces,Unstable data classes in composable params,"@Immutable data class UiState(val name: String)","data class UiState(val list: MutableList<String>)",Medium,https://developer.android.com/develop/ui/compose/performance/stability,not-applicable,none,none,none,strict
20,Performance,Use lambda stability,Prevent recomposition from lambda allocations,Remember lambdas or use method references,Inline lambdas causing recomposition,"val onClick = remember { { viewModel.onClick() } }","Button(onClick = { viewModel.onClick() }) // new lambda",Medium,,not-applicable,none,none,none,strict
21,Performance,Profile with Layout Inspector,Inspect recomposition counts,Layout Inspector for composition analysis,Guessing at composition issues,Android Studio Layout Inspector,Log statements for profiling,Medium,,not-applicable,none,none,none,standard
22,Navigation,Use Compose Navigation,Type-safe navigation with Compose,Navigation Compose with type-safe routes,Fragment navigation with Compose,NavHost composable with typed destinations,FragmentManager with ComposeView,High,https://developer.android.com/develop/ui/compose/navigation,not-applicable,none,none,agent-aware,standard
23,Navigation,Use type-safe routes,Kotlin Serialization for route args,@Serializable data class for route parameters,String-based route patterns,"@Serializable data class Profile(val id: String)","navController.navigate('profile/$id')",High,,not-applicable,none,none,agent-aware,standard
24,Navigation,Use Hilt for ViewModel injection,ViewModel injection in Compose,hiltViewModel() for ViewModel in composables,Manual ViewModel creation,"val viewModel: HomeViewModel = hiltViewModel()","val viewModel = ViewModelProvider(this)[HomeViewModel::class.java]",Medium,https://developer.android.com/develop/ui/compose/libraries#hilt,not-applicable,none,none,agent-aware,standard
25,Layout,Use Constraint Layout sparingly,Only for complex overlapping layouts,ConstraintLayout for complex positioning,ConstraintLayout for simple layouts,Column/Row for most layouts,ConstraintLayout for simple list,Low,https://developer.android.com/develop/ui/compose/layouts/constraintlayout,not-applicable,none,none,none,standard
26,Layout,Use WindowSizeClass for responsive,Adaptive layouts across form factors,WindowSizeClass for phone/tablet/foldable,Fixed layouts for all screens,"val windowSizeClass = currentWindowAdaptiveInfo().windowSizeClass","Fixed layout ignoring screen size",High,https://developer.android.com/develop/ui/compose/layouts/adaptive,not-applicable,none,none,none,standard
27,Layout,Support foldable devices,Adaptive UI for foldable form factors,WindowInfoTracker for fold-aware layout,Ignore foldable state,"val foldingFeatures = windowLayoutInfo.foldingFeatures","Same layout for all form factors",Medium,,not-applicable,none,none,none,standard
28,Animation,Use animate*AsState,Simple value-based animations,animate*AsState for single value changes,Manual animation with updateTransition for simple cases,"val alpha by animateFloatAsState(if (visible) 1f else 0f)","Manual alpha management",Medium,https://developer.android.com/develop/ui/compose/animation/value-based,not-applicable,none,none,none,standard
29,Animation,Use AnimatedContent for transitions,Content switching with animation,AnimatedContent for state-driven content swap,Crossfade for complex transitions,"AnimatedContent(targetState = state) { target -> when(target) { ... } }","if (state) A() else B() // no animation",Medium,,not-applicable,none,none,none,standard
30,Animation,Use Shared Element transitions,Hero animations between screens,SharedTransitionLayout for navigation transitions,No transition between screens,SharedTransitionLayout with sharedElement/sharedBounds,No shared transitions,Medium,https://developer.android.com/develop/ui/compose/animation/shared-elements,not-applicable,none,none,none,standard
31,Testing,Use Compose Testing,ComposeTestRule for UI tests,composeTestRule for composable testing,Espresso for Compose UI,"composeTestRule.onNodeWithText('Hello').assertIsDisplayed()","onView(withId(R.id.text)).check(matches(...))",Medium,https://developer.android.com/develop/ui/compose/testing,not-applicable,none,none,agent-aware,standard
32,Testing,Use semantics for testing,Test via semantic properties,Semantic matchers for test assertions,Content description for test IDs only,"Modifier.testTag('submitBtn')","Modifier.contentDescription('submit') for test only",Medium,,not-applicable,none,none,agent-aware,standard
33,Accessibility,Use semantic properties,Accessibility via Modifier.semantics,semantics modifier for screen readers,Missing accessibility info,"Modifier.semantics { contentDescription = 'Delete item' }","Icon without description",High,,not-applicable,none,none,none,standard
34,Accessibility,Minimum touch target,48.dp minimum touch target,Modifier.sizeIn(minWidth = 48.dp minHeight = 48.dp),Tiny interactive elements,"Modifier.sizeIn(minWidth = 48.dp, minHeight = 48.dp)","24.dp icon button",High,,not-applicable,none,none,none,standard
35,Security,Use EncryptedSharedPreferences,Secure storage for sensitive data,EncryptedSharedPreferences for tokens,SharedPreferences for secrets,EncryptedSharedPreferences.create(),SharedPreferences for API keys,High,,not-applicable,none,hipaa-grade,agent-aware,standard
36,Security,Use Credential Manager,Modern sign-in with passkeys,Credential Manager API for authentication,Custom auth flows,"CredentialManager.createCredential(...)","Custom username/password flow",Medium,https://developer.android.com/identity/sign-in/credential-manager,not-applicable,ai-optional,basic,agent-aware,standard
37,AI,Stream AI responses,Progressive AI output rendering,Flow collection for streaming AI output,Wait for full response,"aiFlow.collectAsStateWithLifecycle()","val response = withContext(IO) { ai.generate() }",High,,not-applicable,ai-native,basic,agent-native,critical
38,AI,Label AI-generated content,Clear AI attribution,Badge or indicator for AI content,Present AI as human,AssistChip(label = { Text('AI Generated') }),No attribution,High,,not-applicable,ai-native,gdpr-ready,agent-native,standard
39,Privacy,Request permissions with rationale,Runtime permissions at point of use,rememberLauncherForActivityResult for permissions,Batch permissions on startup,"rememberLauncherForActivityResult(RequestPermission()) { }","requestPermissions() in onCreate",High,,not-applicable,none,gdpr-ready,agent-aware,standard
40,Privacy,Support account deletion,Play Store requirement,Clear account deletion in settings,No deletion option,Settings > Account > Delete Account,Hidden or missing deletion,High,,not-applicable,none,hipaa-grade,agent-aware,standard
41,Agent,Use testTag for automation,Stable identifiers for testing agents,Modifier.testTag on key UI elements,No test tags,"Modifier.testTag('order_submit')","No testTag",Medium,,not-applicable,ai-native,none,agent-native,standard
