No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Routing,Use App Router for new projects,App Router is the recommended approach in Next.js 15+,app/ directory with page.tsx,pages/ for new projects,app/dashboard/page.tsx,pages/dashboard.tsx,Medium,https://nextjs.org/docs/app,not-applicable,none,none,none,standard
2,Routing,Use file-based routing,Create routes by adding files in app directory,page.tsx for routes layout.tsx for layouts,Manual route configuration,app/blog/[slug]/page.tsx,Custom router setup,Medium,https://nextjs.org/docs/app/building-your-application/routing,not-applicable,none,none,none,standard
3,Routing,Use dynamic route segments,Square bracket syntax for dynamic paths,[slug] for dynamic params,Hardcoded routes for dynamic content,app/posts/[id]/page.tsx,Static routes for each post,Medium,https://nextjs.org/docs/app/building-your-application/routing/dynamic-routes,not-applicable,none,none,none,standard
4,Routing,Use route groups,Organize routes without affecting URL structure,(group) folders for logical grouping,Flat file structure for large apps,(marketing)/about/page.tsx,All pages in root app/,Medium,https://nextjs.org/docs/app/building-your-application/routing/route-groups,not-applicable,none,none,none,standard
5,Routing,Use parallel routes,Render multiple pages in same layout simultaneously,@slot for dashboards and split views,Single page for complex layouts,app/@modal/login/page.tsx,Single page conditional rendering,Medium,https://nextjs.org/docs/app/building-your-application/routing/parallel-routes,not-applicable,none,none,agent-aware,standard
6,Routing,Use intercepting routes,Show route in modal while preserving URL context,(.) (..) (...) for modal patterns,Full page navigation for previews,app/@modal/(.)photo/[id]/page.tsx,Navigate away from feed for photo,Medium,https://nextjs.org/docs/app/building-your-application/routing/intercepting-routes,not-applicable,none,none,none,standard
7,Rendering,Use Server Components by default,Server Components reduce client JavaScript,No 'use client' directive = server component,'use client' on everything,"export default function Page() { }","'use client' on all components",High,https://nextjs.org/docs/app/building-your-application/rendering/server-components,not-applicable,ai-native,none,agent-native,critical
8,Rendering,Minimize client components,Only use client components for interactivity,Push 'use client' to leaf components,'use client' at page/layout level,Client Button inside Server Page,'use client' on entire page,High,https://nextjs.org/docs/app/building-your-application/rendering/composition-patterns,not-applicable,ai-recommended,none,agent-optimized,critical
9,Rendering,Use Streaming with Suspense,Stream UI as it becomes ready,Suspense boundaries for async content,Wait for all data before rendering,"<Suspense fallback={<Skeleton />}><Data /></Suspense>",Blocking render until all data loads,High,https://nextjs.org/docs/app/building-your-application/routing/loading-ui-and-streaming,not-applicable,ai-recommended,none,agent-optimized,critical
10,Rendering,Use Partial Prerendering (PPR),Combine static shell with streaming dynamic content,Enable PPR for hybrid static+dynamic pages,Full SSR for pages with any dynamic data,"export const experimental_ppr = true",Entire page dynamic for one user-specific widget,High,https://nextjs.org/docs/app/building-your-application/rendering/partial-prerendering,not-applicable,ai-native,none,agent-native,critical
11,Data,Default to no-cache in Next.js 15,fetch() is uncached by default in v15,Explicitly opt into caching when needed,Assume data is cached like v14,"fetch(url, { cache: 'force-cache' })","Assuming fetch auto-caches",High,https://nextjs.org/docs/app/building-your-application/caching,not-applicable,none,none,none,critical
12,Data,Use async Server Components for data,Fetch data directly in server components,async/await in Server Components,Client-side fetching for static data,async function Page() { const data = await fetch() },useEffect + fetch on client,High,https://nextjs.org/docs/app/building-your-application/data-fetching,not-applicable,ai-recommended,none,agent-optimized,strict
13,Data,Use Server Actions for mutations,Mutate data with server-side functions,'use server' functions for form submissions,API routes for simple mutations,"async function save() { 'use server'; }",fetch('/api/save') from client,High,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations,not-applicable,ai-native,basic,agent-native,strict
14,Data,Implement proper revalidation,Keep cached data fresh with revalidation strategies,revalidatePath/revalidateTag after mutations,Manual cache clearing,"revalidatePath('/posts')",No revalidation after mutation,High,https://nextjs.org/docs/app/building-your-application/data-fetching/incremental-static-regeneration,not-applicable,none,none,agent-aware,strict
15,Data,Use generateStaticParams for SSG,Pre-render dynamic routes at build time,generateStaticParams for known paths,Dynamic rendering for static content,export async function generateStaticParams(),No static generation for blog posts,Medium,https://nextjs.org/docs/app/api-reference/functions/generate-static-params,not-applicable,none,none,none,critical
