No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Routing,Use file-based routing,Create routes by adding files in pages directory,pages/ directory with index.vue,Manual route configuration,pages/dashboard/index.vue,Custom router setup,Medium,https://nuxt.com/docs/getting-started/routing,not-applicable,none,none,none,standard
2,Routing,Use dynamic route parameters,Create dynamic routes with bracket syntax,[id].vue for dynamic params,Hardcoded routes for dynamic content,pages/posts/[id].vue,pages/posts/post1.vue,Medium,https://nuxt.com/docs/getting-started/routing,not-applicable,none,none,none,standard
3,Routing,Use catch-all routes,Handle unknown nested paths,[...slug].vue for wildcard routes,Multiple specific routes for similar patterns,pages/docs/[...slug].vue,pages/docs/a.vue pages/docs/b.vue,Low,https://nuxt.com/docs/getting-started/routing,not-applicable,none,none,none,standard
4,Routing,Use route middleware,Protect routes and handle auth,defineNuxtRouteMiddleware for auth,Auth checks inside page components,"middleware/auth.ts with navigateTo('/login')","onMounted(() => if(!auth) navigateTo)",High,https://nuxt.com/docs/guide/directory-structure/middleware,not-applicable,none,basic,agent-aware,standard
5,Routing,Use usePreviewMode,Enable content preview mode,usePreviewMode for CMS preview,Custom preview query params,"const { enabled, state } = usePreviewMode()","if(route.query.preview) showDraft()",Medium,https://nuxt.com/docs/api/composables/use-preview-mode,not-applicable,ai-optional,none,none,standard
6,Routing,Use prerenderRoutes for SSG,Pre-render specific routes at build time,prerenderRoutes for known static pages,Dynamic rendering for static content,"prerenderRoutes(['/about', '/pricing'])",No static generation,Medium,https://nuxt.com/docs/api/utils/prerender-routes,not-applicable,none,none,none,critical
7,Routing,Configure routeRules,Per-route rendering strategy,routeRules for ISR SWR prerender,Same rendering for all routes,"routeRules: { '/blog/**': { isr: 3600 } }",Universal SSR for everything,High,https://nuxt.com/docs/guide/concepts/rendering#hybrid-rendering,not-applicable,none,none,none,critical
8,Data,Use useFetch for data fetching,Built-in composable with SSR support,useFetch for API calls with caching,Raw fetch or axios in setup,"const { data } = useFetch('/api/posts')","const data = await $fetch('/api/posts')",High,https://nuxt.com/docs/api/composables/use-fetch,not-applicable,ai-recommended,none,agent-optimized,strict
9,Data,Use useAsyncData for complex fetching,Custom data fetching with transform,useAsyncData for multi-source or transformed data,Multiple useFetch calls for combined data,"useAsyncData('key', () => Promise.all([fetchA(), fetchB()]))",Multiple sequential useFetch calls,Medium,https://nuxt.com/docs/api/composables/use-async-data,not-applicable,ai-recommended,none,agent-optimized,strict
10,Data,Use $fetch for client-side calls,$fetch for event handlers and client actions,$fetch in event handlers and server routes,useFetch in event handlers,"async function save() { await $fetch('/api/save', { method: 'POST' }) }","useFetch inside onClick",Medium,https://nuxt.com/docs/api/utils/dollarfetch,not-applicable,none,none,none,standard
11,Data,Avoid payload duplication,Don't fetch same data multiple times,Key-based deduplication with useAsyncData,Duplicate fetches in layout + page,"useAsyncData('user', getUser) in layout","useFetch('/api/user') in both layout and page",Medium,,not-applicable,none,none,none,strict
12,Data,Use lazy option for non-critical data,Defer non-essential data loading,lazy: true for below-fold content,Blocking render for all data,"useFetch('/api/stats', { lazy: true })","useFetch('/api/stats') blocking render",Medium,https://nuxt.com/docs/api/composables/use-fetch,not-applicable,none,none,none,critical
13,Server,Use server routes for APIs,Nitro server routes for backend logic,server/api/ directory for endpoints,External API server or pages/api/,server/api/users.get.ts,External Express server,High,https://nuxt.com/docs/guide/directory-structure/server,not-applicable,ai-recommended,basic,agent-optimized,standard
14,Server,Use event handlers properly,Nitro event handling patterns,defineEventHandler with proper validation,Unvalidated request handling,"defineEventHandler(async (event) => { const body = await readBody(event) })","export default (req res) => {}",High,https://nuxt.com/docs/guide/directory-structure/server,not-applicable,none,basic,agent-aware,standard
15,Server,Use server utilities,Shared server-side logic,server/utils/ for shared functions,Duplicate logic across routes,server/utils/auth.ts shared helpers,Same auth check in every route,Medium,,not-applicable,none,none,none,standard
16,Server,Validate request data,Prevent invalid data from reaching logic,Zod or H3 validators for all inputs,Trust client-side validation only,"const body = await readValidatedBody(event, schema.parse)","const body = await readBody(event) // no validation",High,,not-applicable,ai-recommended,gdpr-ready,agent-optimized,standard
17,State,Use useState composable,SSR-safe shared state,useState for state shared across components,ref() for global state in composables,"const count = useState('count', () => 0)","const count = ref(0) // not SSR safe",High,https://nuxt.com/docs/api/composables/use-state,not-applicable,none,none,none,standard
18,State,Use Pinia for complex state,Official state management for Nuxt,Pinia stores for complex domains,Custom reactive state management,usePiniaStore() with defineStore,Custom reactive module state,Medium,https://nuxt.com/docs/getting-started/state-management,not-applicable,ai-optional,none,agent-aware,standard
19,Components,Use auto-imports,Leverage Nuxt auto-import system,Auto-imported composables and components,Manual imports for Nuxt utilities,Just use ref() computed() useFetch(),"import { ref } from 'vue'",Medium,https://nuxt.com/docs/guide/concepts/auto-imports,not-applicable,none,none,none,standard
20,Components,Use <NuxtPage> and <NuxtLayout>,Built-in routing components,<NuxtPage /> for route rendering,<RouterView /> directly,"<NuxtLayout><NuxtPage /></NuxtLayout>","<RouterView />",Medium,https://nuxt.com/docs/api/components/nuxt-page,not-applicable,none,none,none,standard
21,Components,Use <NuxtLink> for navigation,Optimized link component with prefetching,<NuxtLink> for internal links,<a> tags or <RouterLink>,"<NuxtLink to='/about'>About</NuxtLink>","<a href='/about'>About</a>",Medium,https://nuxt.com/docs/api/components/nuxt-link,not-applicable,none,none,none,strict
22,Components,Use <NuxtImg> for images,Optimized image component via @nuxt/image,<NuxtImg> for responsive optimized images,Native <img> for all images,"<NuxtImg src='/photo.jpg' width='800' />","<img src='/photo.jpg' />",Medium,https://image.nuxt.com/,not-applicable,none,none,none,critical
23,SEO,Use useSeoMeta composable,Type-safe SEO meta management,useSeoMeta for page metadata,useHead with raw meta arrays,"useSeoMeta({ title: 'Page', description: 'Desc' })","useHead({ meta: [{ name: 'description' }] })",High,https://nuxt.com/docs/api/composables/use-seo-meta,not-applicable,none,none,none,standard
24,SEO,Use OG image module,Auto-generate social share images,@nuxt/og-image for dynamic OG images,Manual image creation,"defineOgImageComponent('OgImage', { title: 'Blog Post' })","Static og-image.png for all pages",Low,https://nuxtseo.com/og-image,not-applicable,ai-optional,none,none,standard
25,Config,Use app.config.ts for runtime config,Runtime configuration without rebuild,app.config.ts for public runtime values,Hardcoded values in components,"export default defineAppConfig({ theme: { primary: '#3b82f6' } })","const color = '#3b82f6' in component",Medium,https://nuxt.com/docs/guide/directory-structure/app-config,token-based,none,none,agent-aware,standard
