No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Components,Use functional components,Hooks-based components are standard,Functional components with hooks,Class components,const App = () => { },class App extends Component,Medium,https://reactnative.dev/docs/intro-react,not-applicable,none,none,none,standard
2,Components,Keep components small,Single responsibility principle,Split into smaller components,Large monolithic components,<Header /><Content /><Footer />,500+ line component,Medium,,not-applicable,none,none,agent-aware,standard
3,Components,Use TypeScript,Type safety for props and state,TypeScript for all components,Untyped JavaScript,"interface Props { title: string }","PropTypes or no types",High,,not-applicable,ai-recommended,none,agent-optimized,standard
4,Components,Use Pressable over TouchableOpacity,Modern press handling component,Pressable with style callback,TouchableOpacity for all press,"<Pressable onPress={fn} style={({pressed}) => [...]}","<TouchableOpacity onPress={fn}>",Medium,https://reactnative.dev/docs/pressable,not-applicable,none,none,none,standard
5,Navigation,Use Expo Router for navigation,File-based routing with Expo,Expo Router for type-safe navigation,React Navigation manual setup,"app/(tabs)/index.tsx","Stack.Navigator manually configured",High,https://docs.expo.dev/router/introduction/,not-applicable,none,none,agent-aware,standard
6,Navigation,Use typed routes,Type-safe navigation parameters,Typed route params with Expo Router,Untyped navigation params,"router.push('/user/' + id) with typed routes","navigation.navigate('User', { id }) untyped",Medium,,not-applicable,none,none,agent-aware,standard
7,Navigation,Use deep linking,Support URL-based navigation,Expo Router auto deep linking,Manual linking configuration,Automatic with Expo Router,Manual Linking config,Medium,https://docs.expo.dev/router/introduction/,not-applicable,none,none,agent-aware,standard
8,Styling,Use StyleSheet.create,Optimized style objects,StyleSheet.create for all styles,Inline style objects,StyleSheet.create({ container: {} }),"style={{ padding: 16 }}",Medium,https://reactnative.dev/docs/stylesheet,not-applicable,none,none,none,standard
9,Styling,Use design tokens,Consistent theme variables,Theme tokens for colors spacing typography,Hardcoded values in styles,"colors.primary","'#3b82f6'",Medium,,token-based,none,none,agent-aware,standard
10,Styling,Use NativeWind or Tamagui,Modern styling frameworks,NativeWind (Tailwind for RN) or Tamagui,Plain StyleSheet for large apps,"className='bg-primary p-4'","StyleSheet.create for every component",Medium,https://www.nativewind.dev/,token-based,none,none,none,standard
11,DarkMode,Support system dark mode,Respect user's appearance preference,useColorScheme hook for theme detection,Force light mode,"const colorScheme = useColorScheme()","Always use light colors",High,,auto-detect,none,none,none,standard
12,DarkMode,Use semantic color tokens,Colors that adapt to appearance,Token-based colors that switch with theme,Hardcoded light/dark values,"colors[colorScheme].background","colorScheme === 'dark' ? '#000' : '#fff' everywhere",Medium,,token-based,none,none,none,standard
13,State,Use React state management,Appropriate state tools for complexity,useState for local TanStack Query for server,Single state solution for everything,"const { data } = useQuery({...})","Redux for everything",Medium,,not-applicable,none,none,none,standard
14,State,Use Zustand for client state,Lightweight global state management,Zustand for simple global state,Redux for simple state,"const useStore = create((set) => ({ count: 0 }))","Redux with actions/reducers for counter",Medium,https://github.com/pmndrs/zustand,not-applicable,ai-optional,none,agent-aware,standard
15,Performance,Use FlatList for long lists,Virtualized list rendering,FlatList for scrollable lists,ScrollView with map for large lists,"<FlatList data={items} renderItem={({item}) => ...} />","<ScrollView>{items.map(i => <Item />)}</ScrollView>",High,https://reactnative.dev/docs/flatlist,not-applicable,none,none,none,critical
16,Performance,Use FlashList for better performance,TikTok's list component for maximum perf,FlashList for 100+ item lists,FlatList for massive lists,"<FlashList data={items} estimatedItemSize={80} />","FlatList for 10k items",High,https://shopify.github.io/flash-list/,not-applicable,none,none,none,critical
17,Performance,Use expo-image for images,Optimized image loading with caching,expo-image for all image rendering,React Native Image component,"<Image source={uri} contentFit='cover' />","<Image source={{uri}} resizeMode='cover' />",Medium,https://docs.expo.dev/versions/latest/sdk/image/,not-applicable,none,none,none,critical
18,Performance,Enable New Architecture,TurboModules and Fabric renderer,New Architecture for better performance,Old architecture for new projects,"newArchEnabled: true in app.json","Default old architecture",High,https://reactnative.dev/docs/new-architecture-intro,not-applicable,none,none,none,critical
19,Performance,Use Static Hermes,Ahead-of-time compiled JavaScript,Enable Static Hermes for faster startup,Default JIT or JSC engine,Static Hermes configuration,No Hermes or old Hermes,Medium,,not-applicable,none,none,none,critical
20,Performance,Monitor with React DevTools,Profile component renders and perf,React DevTools Profiler for optimization,console.log debugging,DevTools Profiler,console.log for performance,Medium,,not-applicable,none,none,none,standard
21,Async,Use TanStack Query for server state,Cache and sync server data,TanStack Query for API data management,useEffect + fetch for API calls,"const { data, isLoading } = useQuery({...})","useEffect(() => fetch().then(setData))",High,https://tanstack.com/query,not-applicable,ai-recommended,none,agent-optimized,strict
22,Async,Handle loading and error states,Always show feedback during async,Loading indicators and error messages,Silent failures or frozen UI,"if(isLoading) return <ActivityIndicator />","No loading state",Medium,,not-applicable,none,none,agent-aware,standard
23,Testing,Use Jest with React Native Testing Library,Test component behavior,@testing-library/react-native for tests,Detox for unit tests,"render(<Component />); screen.getByText('Hello')","Manual testing only",Medium,,not-applicable,none,none,agent-aware,standard
24,Testing,Use Maestro for E2E testing,Cross-platform E2E testing,Maestro for user flow testing,Manual E2E testing,Maestro flows for critical paths,Manual testing of all flows,Medium,https://maestro.mobile.dev/,not-applicable,none,none,agent-aware,standard
25,Expo,Use Expo for new projects,Managed workflow for faster development,Expo SDK for new projects,Bare React Native for simple apps,"npx create-expo-app@latest","npx react-native init",High,https://docs.expo.dev/,not-applicable,none,none,none,standard
26,Expo,Use EAS Build,Cloud builds for production,EAS Build for iOS/Android builds,Local builds for production,eas build --platform all,react-native run-ios for production,Medium,https://docs.expo.dev/build/introduction/,not-applicable,none,none,none,standard
27,Expo,Use EAS Update for OTA,Over-the-air updates for JS changes,EAS Update for quick fixes,Full App Store release for JS fixes,eas update --branch production,Full build for text change,Medium,https://docs.expo.dev/eas-update/introduction/,not-applicable,none,none,none,standard
28,Accessibility,Use accessibilityLabel,VoiceOver and TalkBack labels,accessibilityLabel on all interactive elements,Missing accessibility labels,"<Pressable accessibilityLabel='Delete item'>","<Pressable> with no label",High,,not-applicable,none,none,none,standard
29,Accessibility,Use accessibilityRole,Semantic roles for screen readers,accessibilityRole for element type,Missing roles,"accessibilityRole='button'","No role on custom button",Medium,,not-applicable,none,none,none,standard
