No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,State,Use useState for local state,Simple component state should use useState hook,useState for form inputs toggles counters,Class components this.state,"const [count, setCount] = useState(0)",this.state = { count: 0 },Medium,https://react.dev/reference/react/useState,not-applicable,none,none,none,standard
2,State,Use useReducer for complex state,Complex state logic with multiple sub-values,useReducer for related state transitions,Multiple useState for related values,"const [state, dispatch] = useReducer(reducer, init)",Multiple useState calls for one form,Medium,https://react.dev/reference/react/useReducer,not-applicable,none,none,none,standard
3,State,Lift state up appropriately,Share state between sibling components,Lift to closest common ancestor,Prop drilling through many levels,State in parent passed to children,Global state for local needs,Medium,https://react.dev/learn/sharing-state-between-components,not-applicable,none,none,none,standard
4,State,Use Context for global state,App-wide state like theme auth locale,Context + useReducer for global state,Context for frequently changing values,ThemeContext AuthContext,"Context for list items or form fields",Medium,https://react.dev/reference/react/useContext,token-based,none,basic,agent-aware,standard
5,State,Avoid state for derived values,Compute values during render instead of storing,Calculate during render with useMemo,Sync state with useEffect,"const total = items.reduce((s,i) => s + i.price, 0)","useEffect(() => setTotal(calc()), [items])",High,https://react.dev/learn/you-might-not-need-an-effect,not-applicable,none,none,none,strict
6,State,Use use() hook for async data,React 19 use() reads promises and context during render,use(promise) to unwrap async data in components,useEffect + useState for data fetching,const data = use(fetchData()),useEffect(() => fetch().then(setData)),High,https://react.dev/reference/react/use,not-applicable,ai-recommended,none,agent-optimized,strict
7,Effects,Minimize useEffect usage,Effects are escape hatches not primary patterns,Effects for external system sync only,Effects for derived state or event handling,useEffect for WebSocket connection,useEffect to update state on prop change,High,https://react.dev/learn/you-might-not-need-an-effect,not-applicable,none,none,none,strict
8,Effects,Clean up effects properly,Prevent memory leaks and stale closures,Return cleanup function from useEffect,Forget to unsubscribe or clear timers,"useEffect(() => { sub(); return () => unsub(); }, [])",useEffect without cleanup,High,https://react.dev/learn/synchronizing-with-effects,not-applicable,none,none,none,strict
9,Effects,Use proper dependency arrays,Track all values used inside the effect,Include all referenced values in deps array,Omit dependencies or use empty array blindly,"useEffect(() => { fetch(id) }, [id])","useEffect(() => { fetch(id) }, [])",High,https://react.dev/reference/react/useEffect,not-applicable,none,none,none,standard
10,Performance,Use React.memo wisely,Prevent unnecessary re-renders of expensive components,Memo for expensive pure components,Memo everything blindly,React.memo(ExpensiveList),React.memo(SimpleButton),Medium,https://react.dev/reference/react/memo,not-applicable,none,none,none,strict
11,Performance,Use useMemo for expensive calculations,Cache computation results between renders,useMemo for costly array/object operations,useMemo for simple calculations,"useMemo(() => items.filter(heavyFn), [items])",useMemo(() => a + b),Medium,https://react.dev/reference/react/useMemo,not-applicable,none,none,none,strict
12,Performance,Use useCallback for stable references,Prevent child re-renders from new function refs,useCallback for functions passed as props,useCallback for every function,"useCallback(() => save(id), [id])",useCallback for inline handlers,Medium,https://react.dev/reference/react/useCallback,not-applicable,none,none,none,strict
13,Performance,Use React Compiler (auto-memoization),React Compiler eliminates need for manual memo/useMemo/useCallback,Enable React Compiler in babel config,Manual memo/useMemo/useCallback with Compiler on,babel-plugin-react-compiler,React.memo + useMemo + useCallback everywhere,High,https://react.dev/learn/react-compiler,not-applicable,ai-native,none,agent-optimized,critical
14,Performance,Virtualize long lists,Render only visible items for large datasets,TanStack Virtual or react-window for 100+ items,Render thousands of DOM nodes,"<VirtualList items={bigList} />","items.map(i => <Row />)  // 10k rows",High,https://tanstack.com/virtual,not-applicable,none,none,none,critical
15,Performance,Code split with lazy and Suspense,Load components on demand to reduce bundle,React.lazy + Suspense for route-level splitting,Import everything at top level,"const Page = lazy(() => import('./Page'))","import Page from './Page'  // all upfront",Medium,https://react.dev/reference/react/lazy,not-applicable,none,none,none,critical
16,Components,Use functional components,Hooks-based components are the standard,Functional components with hooks,Class components,const App = () => {},class App extends Component {},Medium,https://react.dev/learn/your-first-component,not-applicable,none,none,none,standard
17,Components,Keep components small,Single responsibility principle for maintainability,Extract sub-components at 50-80 lines,Monolithic 500+ line components,"<Header /><Content /><Footer />",One component renders everything,Medium,https://react.dev/learn/thinking-in-react,not-applicable,none,none,agent-aware,standard
18,Components,Use TypeScript for props,Type safety catches bugs at compile time,Interface/type for all component props,PropTypes or untyped props,"interface Props { name: string; }","PropTypes.string or any",High,https://react.dev/learn/typescript,not-applicable,ai-recommended,none,agent-optimized,standard
19,Components,Use composition over inheritance,React favors composition pattern,children prop and render props,Class inheritance hierarchies,<Layout><Sidebar /><Main /></Layout>,class Page extends BaseLayout,Medium,https://react.dev/learn/passing-props-to-a-component,not-applicable,none,none,agent-aware,standard
20,Components,Use forwardRef for DOM access,Expose DOM refs to parent components,forwardRef for reusable input/button components,Exposing internal DOM refs without forwardRef,"const Input = forwardRef((props, ref) => ...)",Direct DOM manipulation without ref,Medium,https://react.dev/reference/react/forwardRef,not-applicable,none,none,none,standard
21,Components,Use useImperativeHandle sparingly,Customize exposed ref handle to parent,Expose minimal API via useImperativeHandle,Expose entire DOM node,useImperativeHandle(ref => ({ focus })),Expose full DOM through ref,Low,https://react.dev/reference/react/useImperativeHandle,not-applicable,none,none,none,standard
22,Patterns,Use custom hooks for reuse,Extract shared logic into custom hooks,Custom hooks for shared stateful logic,Copy-paste logic between components,useAuth() useFetch() useDebounce(),Duplicate useState + useEffect blocks,High,https://react.dev/learn/reusing-logic-with-custom-hooks,not-applicable,ai-recommended,none,agent-optimized,standard
23,Patterns,Use Error Boundaries,Catch rendering errors gracefully,Error boundaries for route/feature sections,Let errors crash entire app,<ErrorBoundary fallback={<Error />}>,Unhandled render errors,High,https://react.dev/reference/react/Component#catching-rendering-errors-with-an-error-boundary,not-applicable,ai-recommended,none,agent-aware,standard
24,Patterns,Use Suspense for loading states,Declarative loading UI with Suspense boundaries,Suspense for lazy components and data fetching,Manual isLoading state management,"<Suspense fallback={<Skeleton />}>","if(loading) return <Spinner />",High,https://react.dev/reference/react/Suspense,not-applicable,ai-recommended,none,agent-optimized,standard
25,Patterns,Use portals for overlays,Render modals/tooltips outside DOM hierarchy,createPortal for modals toasts tooltips,Absolute positioning hacks,createPortal(<Modal /> document.body),Modal inside deeply nested div,Medium,https://react.dev/reference/react-dom/createPortal,not-applicable,none,none,none,standard
26,Forms,Use useActionState for form actions,React 19 hook for form state management with actions,useActionState for server/client form handling,Manual form state + onSubmit handlers,"const [state, action, pending] = useActionState(fn, init)","const [state, setState] = useState(); onSubmit = async () => {}",High,https://react.dev/reference/react/useActionState,not-applicable,ai-native,basic,agent-native,standard
27,Forms,Use useOptimistic for instant feedback,React 19 optimistic updates for pending mutations,useOptimistic for immediate UI response,Wait for server before updating UI,"const [optimistic, addOptimistic] = useOptimistic(state)","await api.save(); setState(newState)",High,https://react.dev/reference/react/useOptimistic,not-applicable,ai-recommended,none,agent-optimized,strict
28,Forms,Controlled vs uncontrolled inputs,Choose appropriate input strategy,Controlled for validation/real-time uncontrolled for simple forms,Always controlled for every input,"<input value={v} onChange={e => setV(e.target.value)} />","uncontrolled for complex validation",Medium,https://react.dev/learn/sharing-state-between-components,not-applicable,none,basic,none,standard
29,Forms,Use form validation libraries,Avoid reinventing validation logic,React Hook Form or Zod for validation,Custom regex validation everywhere,useForm() + zodResolver(schema),Manual regex in onChange handlers,Medium,https://react-hook-form.com/,not-applicable,ai-optional,basic,agent-aware,standard
30,Data,Use TanStack Query for server state,Separate server state from client state,TanStack Query for caching pagination invalidation,useState + useEffect for API calls,"const { data } = useQuery({ queryKey, queryFn })",useEffect(() => fetch().then(setData)),High,https://tanstack.com/query,not-applicable,ai-recommended,none,agent-optimized,strict
31,Data,Use proper data fetching patterns,Avoid waterfalls and unnecessary re-fetches,Parallel fetches and request deduplication,Sequential dependent fetches,Promise.all([fetchA() fetchB()]),await fetchA(); await fetchB(),Medium,https://react.dev/learn/synchronizing-with-effects,not-applicable,none,none,none,critical
32,Data,Use Server Functions for mutations,React 19 server functions for data mutations,Server Functions with use server directive,Client-side API calls for mutations,"async function save() { 'use server'; db.save() }",fetch('/api/save') from client,High,https://react.dev/reference/rsc/server-functions,not-applicable,ai-native,basic,agent-native,strict
33,Styling,Use CSS Modules or Tailwind,Scoped styles prevent conflicts,CSS Modules or Tailwind CSS utility classes,Global CSS or inline styles,styles.button or className='px-4 py-2',style={{ padding: '16px' }},Medium,https://react.dev/learn/adding-interactivity,token-based,none,none,none,standard
34,Styling,Use design tokens for theming,Consistent themeable design system,CSS custom properties or design token library,Hardcoded color values,var(--color-primary),"color: '#3b82f6'",Medium,,token-based,none,none,agent-aware,standard
35,Styling,Support dark mode properly,Respect user preference and allow toggle,CSS custom properties + prefers-color-scheme,Separate dark stylesheets,"@media (prefers-color-scheme: dark) { ... }",dark-mode.css with duplicated rules,Medium,,auto-detect,none,none,none,standard
36,RSC,Use Server Components by default,React Server Components reduce client bundle,Server Components for data fetching and static UI,Client Components for everything,"// No 'use client' = Server Component","'use client' on every file",High,https://react.dev/reference/rsc/server-components,not-applicable,ai-native,none,agent-native,critical
37,RSC,Mark client boundaries explicitly,Only add use client where interactivity needed,use client only for interactive leaves,use client at layout/page level,"'use client' on Button/Modal components","'use client' on page layouts",High,https://react.dev/reference/rsc/use-client,not-applicable,ai-recommended,none,agent-optimized,critical
38,RSC,Use server-only for sensitive code,Prevent server code from leaking to client,import 'server-only' in server modules,Mix server/client code in shared utils,"import 'server-only'; const secret = process.env.KEY",process.env.SECRET in shared util,High,https://react.dev/reference/rsc/server-components,not-applicable,ai-recommended,gdpr-ready,agent-optimized,strict
39,Testing,Test behavior not implementation,Tests should verify user-facing behavior,Testing Library queries and user events,Testing internal state or refs,screen.getByRole('button'),component.state.isOpen,Medium,https://testing-library.com/docs/react-testing-library/intro,not-applicable,none,none,agent-aware,standard
40,Testing,Test accessibility in components,Include a11y checks in test suite,jest-axe or vitest-axe for automated a11y tests,Skip accessibility testing,expect(await axe(container)).toHaveNoViolations(),No a11y tests,Medium,https://github.com/nickcolley/jest-axe,not-applicable,none,none,none,standard
41,Testing,Use MSW for API mocking,Mock network layer not implementation,MSW for consistent API mocking in tests,Mock fetch or axios directly,rest.get('/api/users' resolver),jest.mock('axios'),Medium,https://mswjs.io/,not-applicable,ai-optional,none,agent-aware,standard
42,Accessibility,Use semantic HTML elements,Proper HTML semantics improve a11y,nav main article section footer,div for everything,"<nav><ul><li>...</li></ul></nav>","<div class='nav'><div>",High,,not-applicable,none,none,none,standard
43,Accessibility,Implement keyboard navigation,All interactive elements keyboard accessible,Tab order focus management ARIA,Mouse-only interactions,"onKeyDown handler + tabIndex",onClick only,High,,not-applicable,none,none,agent-aware,standard
44,Accessibility,Use ARIA attributes correctly,Enhance accessibility for dynamic content,aria-live for updates aria-label for icons,Overuse ARIA on semantic elements,aria-live='polite' for notifications,aria-label on <p> tag,Medium,,not-applicable,none,none,none,standard
45,Accessibility,Manage focus on route changes,Screen readers need focus reset on navigation,Reset focus to main heading on route change,No focus management after navigation,document.querySelector('h1').focus(),No focus handling on navigation,Medium,,not-applicable,none,none,agent-aware,standard
46,Security,Sanitize user-generated content,Prevent XSS attacks from user input,DOMPurify or sanitize-html for user content,dangerouslySetInnerHTML with raw input,"DOMPurify.sanitize(userHtml)","dangerouslySetInnerHTML={{ __html: userInput }}",High,,not-applicable,none,gdpr-ready,agent-optimized,standard
47,Security,Validate all inputs server-side,Client validation is bypassable,Zod schema validation on server,Client-only validation,zod.parse(req.body) on server,Only client-side checks,High,,not-applicable,ai-recommended,gdpr-ready,agent-optimized,standard
48,Security,Use environment variables for secrets,Never expose secrets in client code,Server-only env vars for API keys,Hardcoded secrets or NEXT_PUBLIC_ for secrets,process.env.API_SECRET (server only),NEXT_PUBLIC_API_SECRET,High,,not-applicable,none,hipaa-grade,agent-aware,standard
49,AI,Implement streaming UI for AI responses,Stream AI responses token-by-token for better UX,ReadableStream + Suspense for AI chat,Wait for full response before displaying,"ai.streamText() with useChat()",await ai.generateText() then setState,High,,not-applicable,ai-native,basic,agent-native,critical
50,AI,Show AI confidence indicators,Display reliability levels for AI outputs,Confidence badges and source citations,Present all AI output as equally certain,"<Badge>85% confidence</Badge>","Plain text with no confidence level",Medium,,not-applicable,ai-native,basic,agent-native,standard
51,AI,Implement human-in-the-loop gates,Critical AI actions need user approval,Confirmation dialogs before irreversible AI actions,Auto-execute all AI suggestions,"<ConfirmDialog>Delete 47 records?</ConfirmDialog>",AI deletes without asking,High,,not-applicable,ai-native,gdpr-ready,agent-native,standard
52,AI,Label AI-generated content clearly,Users must know content is AI-generated,AI-generated badge with edit option,Present AI content as human-written,"<Badge variant='ai'>AI Generated</Badge>",No AI attribution,High,,not-applicable,ai-native,gdpr-ready,agent-native,standard
