No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Routing,Use file-based routing,Create routes with app/routes/ file convention,Use flat routes or folder-based routing convention,Manually define all routes in a config file,"app/routes/blog.$slug.tsx → /blog/:slug","routes: [{ path: '/blog/:slug', component: BlogPost }]",High,https://reactrouter.com/start/framework/routing,auto-detect,none,none,agent-aware,standard
2,Routing,Use nested routes,Leverage nested layouts with <Outlet/>,Create parent routes with shared UI and child routes below,Duplicate shared UI (nav/sidebar) in every route,Parent layout + <Outlet/> for children,Copy-paste sidebar in every route component,High,https://reactrouter.com/start/framework/routing#nested-routes,auto-detect,none,none,none,standard
3,Routing,Use type-safe params,Type route params with TypeScript generics,Define param types and validate in loader,Cast params to string without validation,"const { slug } = params; invariant(slug, 'slug required')","const slug = params.slug as string // might be undefined",High,,auto-detect,none,none,agent-aware,standard
4,Data Loading,Use loaders for data,Load data on the server with loader functions,Export loader function — runs server-side before render,Fetch data in useEffect — causes waterfall and loading states,"export async function loader({ params }: Route.LoaderArgs) { return db.getPost(params.slug) }","useEffect(() => fetch('/api/post/' + slug), [slug])",Critical,https://reactrouter.com/start/framework/data-loading,auto-detect,none,none,agent-aware,critical
5,Data Loading,Use useLoaderData,Access loader data with type-safe hook,Destructure typed data from useLoaderData,Manually type-cast loader data,"const { post } = useLoaderData<typeof loader>()","const data = useLoaderData() as any",High,,auto-detect,none,none,agent-aware,standard
6,Data Loading,Use defer for streaming,Stream slow data with defer() and <Suspense>,Defer non-critical data and show skeleton while loading,Block entire page render waiting for slowest API call,"return defer({ post: getPost(slug), comments: getComments(slug) }); <Suspense fallback={<Skeleton/>}><Await resolve={comments}/></Suspense>","await both getPost and getComments before any render",High,,auto-detect,none,none,none,critical
7,Mutations,Use actions for writes,Handle form submissions with action functions,Export action function for POST/PUT/DELETE operations,Handle mutations in client-side event handlers,"export async function action({ request }: Route.ActionArgs) { const formData = await request.formData(); ... }","onClick={() => fetch('/api/post', { method: 'POST' })}",Critical,https://reactrouter.com/start/framework/actions,auto-detect,none,none,agent-aware,standard
8,Mutations,Use Form component,Use Remix <Form> for progressive enhancement,Use <Form> instead of <form> for automatic revalidation,Use <form> with onSubmit handlers for all mutations,"<Form method='post'><input name='title'/><button>Save</button></Form>","<form onSubmit={handleSubmit}> with manual fetch",High,,auto-detect,none,none,none,standard
9,Mutations,Use useFetcher for inline,Use useFetcher for mutations without navigation,Use fetcher.Form for like/delete/toggle that shouldn't navigate,Use full <Form> for simple toggle actions causing page scroll,"const fetcher = useFetcher(); <fetcher.Form method='post'>...</fetcher.Form>","<Form method='post'> for like button — full page navigation",High,,auto-detect,none,none,agent-aware,standard
10,Mutations,Optimistic UI,Show expected result before server confirms,Use useFetcher.formData to show optimistic state immediately,Wait for server round-trip before updating UI,"if (fetcher.formData) { /* show optimistic state */ }","Spinner on every button click until server responds",High,,auto-detect,none,none,none,standard
11,Error Handling,Use ErrorBoundary,Export ErrorBoundary in route modules for error recovery,Use route-level ErrorBoundary for granular error handling,Let errors bubble to root — crashes entire app,"export function ErrorBoundary() { return <ErrorMessage/> }","No ErrorBoundary — one error crashes full page",Critical,https://reactrouter.com/start/framework/error-handling,auto-detect,none,none,none,standard
12,Error Handling,Use error responses,Throw Response objects for HTTP error handling,Throw new Response() for 404/403/500 in loaders,Return error objects — loses HTTP semantics,"throw new Response('Not Found', { status: 404 })","return { error: 'Not found' } // loses HTTP status",High,,auto-detect,none,none,none,standard
13,Forms,Progressive enhancement,Forms work without JavaScript,Ensure forms submit data via native HTML — JS enhances UX,Build forms that require JS to function at all,"<Form method='post'> with name attributes on all inputs","onClick handler required to submit — broken without JS",High,,auto-detect,none,none,agent-aware,standard
14,Forms,Use useNavigation for pending,Show loading state during form navigation,Use useNavigation().state to indicate pending submissions,No feedback during form submission — user clicks multiple times,"const navigation = useNavigation(); <button disabled={navigation.state === 'submitting'}>","<button>Save</button> with no pending state",High,,auto-detect,none,none,none,standard
15,Forms,Use useActionData for errors,Display server validation errors in the form,Return errors from action and display with useActionData,Client-only validation — server errors lost,"const errors = useActionData<typeof action>(); {errors?.email && <span>{errors.email}</span>}","try/catch in onClick with no server-side validation",High,,auto-detect,none,none,none,standard
16,Meta,Use meta exports,Define page meta tags with meta() export,Export meta function for dynamic title/description/OG tags,Hardcode same <title> on every page,"export function meta({ data }: Route.MetaArgs) { return [{ title: data.post.title }] }","<title>My App</title> hardcoded in root",High,https://reactrouter.com/start/framework/route-module#meta,auto-detect,none,none,none,standard
17,Headers,Use headers export,Control cache headers per route,Export headers function for cache control strategy,No cache headers — everything fetches fresh,"export function headers() { return { 'Cache-Control': 'max-age=300, s-maxage=3600' } }","No caching strategy — every request hits server",Medium,,auto-detect,none,none,none,critical
18,Session,Use sessions for auth,Use cookie-based sessions with createCookieSessionStorage,Use built-in session management for auth state,Store auth tokens in localStorage — XSS vulnerable,"const { getSession } = createCookieSessionStorage({ cookie: { httpOnly: true, secure: true } })","localStorage.setItem('token', jwt) // XSS vulnerable",Critical,,auto-detect,none,gdpr-ready,none,standard
19,Resource,Use resource routes,Create API endpoints with resource routes (no UI),Export only loader/action without default export for JSON APIs,Build separate API server for simple endpoints,"export async function loader() { return Response.json(data) }","Separate Express server for 2 JSON endpoints",Medium,https://reactrouter.com/start/framework/resource-routes,auto-detect,none,none,none,standard
20,Performance,Prefetch links,Use <Link prefetch='intent'> for faster navigation,Set prefetch='intent' to prefetch on hover/focus,No prefetching — every navigation requires fresh load,"<Link to='/blog' prefetch='intent'>Blog</Link>","<Link to='/blog'>Blog</Link> without prefetch",High,,auto-detect,none,none,none,critical
21,Performance,Code split with lazy routes,Lazy load heavy route modules to reduce initial bundle,Use lazy() for routes not needed on initial page load,"Load all routes eagerly in route config","lazy: () => import('./routes/admin')","import AdminRoute from './routes/admin' // in main bundle",Medium,,auto-detect,none,none,none,critical
