No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Runes,Use $state for reactive state,Svelte 5 runes replace let declarations for reactivity,$state() for all reactive variables,Plain let for reactive state (Svelte 4 pattern),"let count = $state(0)","let count = 0  // Svelte 4",High,https://svelte.dev/docs/svelte/$state,not-applicable,none,none,none,standard
2,Runes,Use $derived for computed values,$derived replaces $: reactive statements,$derived() for values computed from state,$: reactive labels (Svelte 4 pattern),"let doubled = $derived(count * 2)","$: doubled = count * 2  // Svelte 4",High,https://svelte.dev/docs/svelte/$derived,not-applicable,none,none,none,strict
3,Runes,Use $effect for side effects,$effect runs when dependencies change,$effect() for DOM side effects and subscriptions,$: for side effects (Svelte 4 pattern),"$effect(() => { document.title = count })","$: document.title = count  // Svelte 4",High,https://svelte.dev/docs/svelte/$effect,not-applicable,none,none,none,standard
4,Runes,Use $state.raw for non-proxy state,Avoid deep proxy overhead for large objects,$state.raw() for large readonly datasets,$state() for large immutable data,"let items = $state.raw(bigArray)","let items = $state(bigArray)  // deep proxy",Medium,https://svelte.dev/docs/svelte/$state#$state.raw,not-applicable,none,none,none,critical
5,Runes,Use $state.snapshot for serialization,Get plain JS value from reactive state,$state.snapshot() when passing to external APIs,Passing $state proxy to third-party libs,"const plain = $state.snapshot(state)","JSON.stringify($state(obj))  // proxy issues",Medium,https://svelte.dev/docs/svelte/$state#$state.snapshot,not-applicable,none,none,agent-aware,standard
6,Runes,Use $bindable for two-way props,$bindable marks props that support bind:,$bindable() for component props with bind:,Manual event dispatch for two-way binding,"let { value = $bindable() } = $props()","createEventDispatcher() for input events",Medium,https://svelte.dev/docs/svelte/$bindable,not-applicable,none,none,none,standard
7,Runes,Use $host for custom elements,$host() accesses host element in custom element mode,$host() in custom element components,document.querySelector for host access,"$host().dispatchEvent(new CustomEvent('change'))","this.dispatchEvent  // not available",Low,https://svelte.dev/docs/svelte/$host,not-applicable,none,none,agent-aware,standard
8,Runes,Use $props for component props,$props() replaces export let declarations,$props() with destructuring for all props,export let (Svelte 4 pattern),"let { name, age = 25 } = $props()","export let name; export let age = 25",High,https://svelte.dev/docs/svelte/$props,not-applicable,none,none,none,standard
9,Components,Keep components small,Single responsibility per component,Extract sub-components at 50-80 lines,Monolithic 500+ line components,"<Header /><Content /><Footer />",Everything in one .svelte file,Medium,,not-applicable,none,none,agent-aware,standard
10,Components,Use Snippets for template reuse,Svelte 5 Snippets replace slots for template composition,{#snippet} and {@render} for composable templates,Named slots (Svelte 4 legacy),"{#snippet header()}<h1>Title</h1>{/snippet}","<slot name='header'>",Medium,https://svelte.dev/docs/svelte/snippet,not-applicable,none,none,none,standard
11,Components,Use TypeScript in components,Type safety for props and state,lang='ts' in script tags,Untyped components,"<script lang='ts'>","<script>  // no types",High,,not-applicable,ai-recommended,none,agent-optimized,standard
12,Components,Use component events with callbacks,Svelte 5 uses callback props instead of createEventDispatcher,Pass callback functions as props,createEventDispatcher (Svelte 4),"let { onclick } = $props(); onclick(data)","const dispatch = createEventDispatcher()",Medium,https://svelte.dev/docs/svelte/v5-migration-guide,not-applicable,none,none,none,standard
13,Stores,Use Svelte stores for shared state,Writable/readable stores for cross-component state,Stores for auth theme global UI state,Props drilling through many levels,"import { writable } from 'svelte/store'",Passing props 5+ levels deep,Medium,https://svelte.dev/docs/svelte/stores,not-applicable,none,none,agent-aware,standard
14,Stores,Consider $state in .svelte.ts modules,Svelte 5 universal reactivity in modules,Reactive modules with $state for shared state,Complex store patterns for simple sharing,"export const count = $state(0)  // in .svelte.ts",writable(0) for simple counters,Medium,https://svelte.dev/docs/svelte/$state,not-applicable,none,none,agent-aware,standard
15,SvelteKit,Use SvelteKit for full apps,SvelteKit provides routing SSR and more,SvelteKit for production applications,Custom build setup with plain Svelte,npm create svelte@latest,Manual Vite + Svelte setup,High,https://svelte.dev/docs/kit,not-applicable,none,none,none,standard
16,SvelteKit,Use file-based routing,SvelteKit routes via filesystem,+page.svelte in routes directory,Manual router configuration,src/routes/about/+page.svelte,Custom route definitions,Medium,https://svelte.dev/docs/kit/routing,not-applicable,none,none,none,standard
17,SvelteKit,Use load functions for data,Server-side data loading,+page.server.ts for server data loading,Client-side fetch in onMount,"export async function load({ fetch }) {}","onMount(() => fetch('/api/data'))",High,https://svelte.dev/docs/kit/load,not-applicable,ai-recommended,none,agent-optimized,strict
18,SvelteKit,Use form actions for mutations,Server-side mutation handling,+page.server.ts actions for form submissions,Client-side API calls for mutations,"export const actions = { default: async ({ request }) => {} }","fetch('/api/save') from client",High,https://svelte.dev/docs/kit/form-actions,not-applicable,ai-native,basic,agent-native,strict
19,SvelteKit,Use hooks for middleware,Server hooks for auth and request handling,hooks.server.ts for auth middleware,Auth checks in each page load,"export async function handle({ event, resolve }) {}","if (!auth) redirect in every load",High,https://svelte.dev/docs/kit/hooks,not-applicable,ai-recommended,gdpr-ready,agent-optimized,strict
20,Performance,Use lazy loading for routes,Code split at route level,SvelteKit auto-splits by route,Single bundle for everything,SvelteKit default behavior,Custom no-split build,Medium,,not-applicable,none,none,none,critical
21,Performance,Minimize reactive overhead,Only track what changes,Fine-grained reactivity with runes,Large reactive objects with many watchers,"let x = $state(0); let y = $state(0)","let pos = $state({ x: 0, y: 0, ...100 props })",Medium,,not-applicable,none,none,none,strict
22,Performance,Use transition directives sparingly,Svelte transitions have overhead,Transition on key UI elements only,Animate every element,"transition:fade on modal entrance",transition:slide on every list item,Low,,not-applicable,none,none,none,strict
23,Styling,Use scoped styles by default,Component styles are scoped automatically,Leverage automatic style scoping,:global() for component-specific styles,"<style>h1 { color: blue }</style>","<style>:global(h1) { color: blue }</style>",Medium,https://svelte.dev/docs/svelte/scoped-styles,token-based,none,none,none,standard
24,Styling,Use CSS custom properties for theming,Design tokens for consistent theming,var(--color-primary) with prefers-color-scheme,Hardcoded hex values,"var(--surface-bg)","background: #ffffff",Medium,,auto-detect,none,none,none,standard
25,Accessibility,Use semantic HTML,Proper HTML elements for a11y,nav main article section,div for everything,"<nav><ul><li>...</li></ul></nav>","<div class='nav'>",High,,not-applicable,none,none,none,standard
26,Accessibility,Add ARIA attributes,Dynamic content needs ARIA,aria-live for updates aria-label for icons,Missing ARIA on interactive elements,"<button aria-label='Close'>X</button>","<button>X</button>",Medium,,not-applicable,none,none,none,standard
27,Accessibility,Manage focus properly,Focus management for modals and navigation,use:action for focus trapping,No focus management,"use:focusTrap","Modal without focus trap",High,,not-applicable,none,none,agent-aware,standard
