No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Data,Use @Observable macro,SwiftUI Observation framework for state,@Observable class for data models,ObservableObject protocol (legacy),"@Observable class Counter { var count = 0 }","class Counter: ObservableObject { @Published var count = 0 }",High,https://developer.apple.com/documentation/observation/observable(),not-applicable,none,none,none,standard
2,Data,Use @Bindable for two-way data,Allow parent views to bind to properties,@Bindable on properties that need $binding,@Binding for everything,"@Observable class Model { @Bindable var name = '' }","@Binding var name: String everywhere",Medium,https://developer.apple.com/documentation/swiftui/bindable,not-applicable,none,none,none,standard
3,Data,Use @State for view-local state,State owned by the view,@State for simple view-owned values,@State for all state,@State private var isExpanded = false,@State var model = ComplexModel(),Medium,https://developer.apple.com/documentation/swiftui/state,not-applicable,none,none,none,standard
4,Data,Use @Environment for shared state,Access shared data through environment,@Environment for theme settings locale,Passing data through every view,"@Environment(\.colorScheme) var colorScheme","Init parameters through 5 levels",Medium,https://developer.apple.com/documentation/swiftui/environment,token-based,none,none,none,standard
5,Data,Use SwiftData for persistence,Modern data persistence framework,SwiftData with @Model macro,Core Data for new projects,"@Model class Item { var name: String }","NSManagedObject subclass",High,https://developer.apple.com/documentation/swiftdata,not-applicable,ai-optional,basic,agent-aware,standard
6,Data,Use @Query for data fetching,SwiftData query in SwiftUI views,@Query for filtered sorted data,Manual fetch requests,"@Query(sort: \.date) var items: [Item]","try modelContext.fetch(FetchDescriptor())",Medium,https://developer.apple.com/documentation/swiftdata/query,not-applicable,ai-optional,none,agent-aware,standard
7,Views,Keep views small and focused,Single responsibility per view,Extract sub-views at 30-50 lines,Monolithic 500+ line views,Compose with Header() Content() Footer(),One giant body property,Medium,,not-applicable,none,none,agent-aware,standard
8,Views,Use computed properties in views,Derive values from state in the view body,Computed props for formatting/filtering,Storing derived state,"var formattedDate: String { date.formatted() }","@State var formattedDate: String // synced manually",Medium,,not-applicable,none,none,none,standard
9,Views,Use ViewBuilder for custom containers,Create reusable container views,@ViewBuilder for composable view parameters,Fixed content in containers,"func card<Content: View>(@ViewBuilder content: () -> Content)","func card(title: String image: Image)",Medium,,not-applicable,none,none,agent-aware,standard
10,Views,Use #Preview macro for previews,Xcode 15+ preview syntax,#Preview macro for all previewable views,PreviewProvider struct (legacy),"#Preview { ContentView() }","struct ContentView_Previews: PreviewProvider { }",Medium,https://developer.apple.com/documentation/swiftui/preview(),not-applicable,none,none,none,standard
11,Navigation,Use NavigationStack,Modern navigation with path-based routing,NavigationStack with typed path,NavigationView (deprecated),"NavigationStack(path: $path) { }","NavigationView { }",High,https://developer.apple.com/documentation/swiftui/navigationstack,not-applicable,none,none,agent-aware,standard
12,Navigation,Use navigationDestination,Type-safe navigation targets,navigationDestination for(: of:) for typed routing,NavigationLink with destination view,"NavigationStack { }.navigationDestination(for: Post.self)","NavigationLink(destination: PostView())",Medium,,not-applicable,none,none,none,standard
13,Navigation,Use TabView for tabs,Standard tab navigation,TabView with Tab entries,Custom tab bar,"TabView { Tab('Home', systemImage: 'house') { HomeView() } }","Custom HStack tab bar",Medium,,not-applicable,none,none,agent-aware,standard
14,Layout,Use LazyVStack/LazyHStack,Lazy loading for list performance,Lazy stacks for 20+ items,VStack for large lists,"LazyVStack { ForEach(items) { } }","VStack { ForEach(items) { } } // loads all",High,,not-applicable,none,none,none,critical
15,Layout,Use Grid for 2D layouts,CSS Grid-like layout,Grid with GridRow for table layouts,Nested HStack/VStack for grids,"Grid { GridRow { Text('A') Text('B') } }","VStack { HStack { } HStack { } }",Medium,,not-applicable,none,none,none,standard
16,Layout,Use ViewThatFits for adaptive,Choose layout based on available space,ViewThatFits for responsive layout,GeometryReader for simple adaptation,"ViewThatFits { HStack { } VStack { } }","GeometryReader for responsive",Medium,https://developer.apple.com/documentation/swiftui/viewthatfits,not-applicable,none,none,none,standard
17,Layout,Use ContainerRelativeFrame,Size views relative to container,ContainerRelativeFrame for proportional sizing,Fixed sizes or GeometryReader,".containerRelativeFrame(.horizontal) { w, _ in w * 0.9 }","GeometryReader { geo in frame(width: geo.size.width * 0.9) }",Low,,not-applicable,none,none,none,standard
