No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Architecture,Use Rust for backend logic,Write performance-critical logic in Rust commands,Use Rust commands for file I/O and system operations,Do everything in JavaScript — loses Tauri's advantage,"#[tauri::command] fn read_file(path: &str) -> Result<String, String>","fs.readFileSync(path) in JS renderer",High,https://v2.tauri.app/develop/calling-rust/,not-applicable,none,none,agent-aware,critical
2,Architecture,Use IPC for communication,Use Tauri's type-safe IPC (invoke) between frontend and Rust,Call Rust commands via invoke() with typed responses,Use HTTP requests to localhost for frontend-backend communication,"const data = await invoke<UserData>('get_user', { id: userId })","fetch('http://localhost:3000/api/user/' + id)",Critical,https://v2.tauri.app/develop/calling-rust/,not-applicable,none,none,agent-aware,standard
3,Architecture,Separate concerns,Keep UI logic in frontend and system logic in Rust,Frontend handles rendering; Rust handles files/network/system,Mix system calls and UI rendering in same layer,"Frontend: display data. Rust: read/write/process data","navigator.clipboard in frontend instead of Rust clipboard API",High,,not-applicable,none,none,agent-aware,standard
4,Architecture,Use plugins,Leverage Tauri v2 plugin system for common functionality,Use official plugins: fs dialog notification clipboard,Build custom Rust code for standard OS features,"use tauri_plugin_fs; app.plugin(tauri_plugin_fs::init())","Custom Rust file dialog implementation",High,https://v2.tauri.app/plugin/,not-applicable,none,none,none,standard
5,Security,Use allowlist,Enable only required API permissions in capabilities,Define minimal capabilities per window in tauri.conf.json,Allow all APIs — exposes unnecessary attack surface,"capabilities: [{ permissions: ['fs:read-files'] }]","capabilities: [{ permissions: ['fs:default'] }] // too broad",Critical,https://v2.tauri.app/security/capabilities/,not-applicable,none,gdpr-ready,none,standard
6,Security,Validate inputs in Rust,Validate all data received from frontend in Rust commands,Sanitize and validate every invoke parameter in Rust,Trust frontend data without validation — injection risk,"if path.contains('..') { return Err('Invalid path') }","let content = std::fs::read_to_string(path)? // no validation",Critical,,not-applicable,none,gdpr-ready,none,standard
7,Security,Use CSP,Configure Content Security Policy for the webview,Set strict CSP in tauri.conf.json to prevent XSS,No CSP — webview vulnerable to script injection,"csp: ""default-src 'self'; script-src 'self'""","No CSP configured — arbitrary script execution possible",Critical,https://v2.tauri.app/security/csp/,not-applicable,none,gdpr-ready,none,standard
8,Security,Avoid eval and innerHTML,Never use eval() or innerHTML with user data in webview,Use DOM APIs or framework templating for dynamic content,Use innerHTML with unsanitized data — XSS in desktop app,Use framework's template system (React JSX / Vue template),document.innerHTML = userProvidedHTML,Critical,,not-applicable,none,gdpr-ready,none,standard
9,Window,Multi-window management,Use Tauri's window management for multi-window apps,Create and manage windows through Rust backend,Open new browser windows — not native behavior,"let window = tauri::WebviewWindowBuilder::new(&app, 'settings').build()?","window.open('settings.html') // browser popup not native",High,https://v2.tauri.app/develop/window-management/,not-applicable,none,none,none,standard
10,Window,Window decorations,Use custom titlebar or native decorations based on platform,Use decorations: false + custom titlebar for branded look,Remove decorations with no custom titlebar — no close/minimize,"Custom titlebar with drag region + min/max/close buttons","decorations: false with no custom controls — can't close app",High,,not-applicable,none,none,none,standard
