No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
1,Reactivity,Use ref for primitive reactive state,Ref unwraps automatically in templates,ref() for strings numbers booleans,reactive() for primitives,"const count = ref(0); count.value++","reactive({ count: 0 })",Medium,https://vuejs.org/api/reactivity-core.html#ref,not-applicable,none,none,none,standard
2,Reactivity,Use reactive for objects,reactive() creates deeply reactive proxy,reactive() for complex nested objects,ref() wrapping large objects,"const state = reactive({ user: { name: '' } })","ref({ user: { name: '' } })",Medium,https://vuejs.org/api/reactivity-core.html#reactive,not-applicable,none,none,none,standard
3,Reactivity,Use computed for derived state,Cached computed values auto-update,computed() for derived values from reactive state,Watch + manual state for derived data,"const doubled = computed(() => count.value * 2)","watch(count, () => { doubled.value = count.value * 2 })",High,https://vuejs.org/api/reactivity-core.html#computed,not-applicable,none,none,none,strict
4,Reactivity,Use watchEffect for side effects,Auto-tracks dependencies and re-runs,watchEffect for logging analytics side effects,Manual dependency tracking,"watchEffect(() => console.log(count.value))","watch([a, b, c], () => { ... })",Medium,https://vuejs.org/api/reactivity-core.html#watcheffect,not-applicable,none,none,none,standard
5,Reactivity,Use shallowRef for large objects,Avoid deep reactivity overhead,shallowRef for large datasets or external objects,Deep reactive for lists/tables with 1000+ items,"const list = shallowRef(bigArray)","ref(bigArray) // deep proxy",Medium,https://vuejs.org/api/reactivity-advanced.html#shallowref,not-applicable,none,none,none,critical
6,Reactivity,Use useTemplateRef for DOM access,Vue 3.5+ type-safe template refs,useTemplateRef() for accessing template elements,String-based ref attribute,"const el = useTemplateRef('input')","const el = ref(null); <input ref='el' />",Medium,https://vuejs.org/api/composition-api-helpers.html#usetemplateref,not-applicable,none,none,agent-aware,standard
7,Reactivity,Use useId for unique IDs,Vue 3.5+ SSR-stable unique ID generation,useId() for form labels and ARIA attributes,Manual ID generation or Math.random,const id = useId(),const id = Math.random().toString(36),Medium,https://vuejs.org/api/composition-api-helpers.html#useid,not-applicable,none,none,agent-aware,standard
8,Components,Use Composition API,Composition API is the standard for Vue 3,<script setup> for components,Options API for new components,"<script setup>const count = ref(0)</script>","export default { data() { return { count: 0 } } }",High,https://vuejs.org/api/sfc-script-setup.html,not-applicable,none,none,none,standard
9,Components,Keep components small,Single responsibility principle,Extract sub-components at 50-80 lines,Monolithic 500+ line SFCs,"<Header /> <Content /> <Footer />",One mega-component,Medium,https://vuejs.org/guide/best-practices/production-deployment.html,not-applicable,none,none,agent-aware,standard
10,Components,Use TypeScript with Vue,Type safety for props emits and composables,defineProps<T>() with TypeScript generics,Untyped or runtime-only declarations,"defineProps<{ name: string }>()","defineProps({ name: String })",High,https://vuejs.org/guide/typescript/composition-api.html,not-applicable,ai-recommended,none,agent-optimized,standard
11,Components,Use defineModel for v-model,Vue 3.4+ simplified two-way binding,defineModel() for v-model props,Manual prop + emit for v-model,"const model = defineModel<string>()",emit('update:modelValue') pattern,Medium,https://vuejs.org/api/sfc-script-setup.html#definemodel,not-applicable,none,none,none,standard
12,Components,Use Teleport for overlays,Render modals/tooltips outside component tree,Teleport to body for modals tooltips,Absolute positioning within deep nesting,"<Teleport to='body'><Modal /></Teleport>",Modal inside deeply nested div,Medium,https://vuejs.org/guide/built-ins/teleport.html,not-applicable,none,none,none,standard
13,Components,Use deferred Teleport,Vue 3.5+ defer attribute for SSR-safe teleport,defer on Teleport when target may not exist yet,"Teleport to target that doesn't exist on mount","<Teleport defer to='#modal-root'>","<Teleport to='#modal-root'> without defer",Medium,https://vuejs.org/guide/built-ins/teleport.html,not-applicable,none,none,none,standard
14,Components,Use async components with Suspense,Lazy load components for code splitting,defineAsyncComponent + Suspense,Import everything eagerly,"defineAsyncComponent(() => import('./Heavy.vue'))","import Heavy from './Heavy.vue'",Medium,https://vuejs.org/guide/components/async.html,not-applicable,none,none,none,critical
15,State,Use Pinia for global state,Pinia is the official Vue state manager,Pinia stores with composition API syntax,Vuex or hand-rolled global state,"defineStore('counter', () => { const count = ref(0) })","Vuex store with mutations",High,https://pinia.vuejs.org/,not-applicable,ai-optional,none,agent-aware,standard
16,State,Keep stores small and focused,One concern per store,Separate stores per domain (auth cart ui),Single monolithic store,useAuthStore() useCartStore(),Giant useAppStore(),Medium,https://pinia.vuejs.org/cookbook/composing-stores.html,not-applicable,none,none,agent-aware,standard
17,State,Use composables for reusable logic,Extract shared reactive logic into composable functions,useComposable pattern for shared logic,Copy-paste logic between components,useFetch() useAuth() useDebounce(),Duplicate ref + watch blocks,High,https://vuejs.org/guide/reusability/composables.html,not-applicable,ai-recommended,none,agent-optimized,standard
18,Performance,Use v-once for static content,Skip re-rendering of static trees,v-once for content that never changes,Re-render static headers/footers,"<h1 v-once>{{ title }}</h1>",Static content without v-once,Low,https://vuejs.org/api/built-in-directives.html#v-once,not-applicable,none,none,none,strict
19,Performance,Use v-memo for list optimization,Memoize template sub-trees in v-for,v-memo with dependency array in lists,Re-render entire list on any change,"<div v-for='item in list' v-memo='[item.id, item.selected]'>","v-for without memoization for large lists",Medium,https://vuejs.org/api/built-in-directives.html#v-memo,not-applicable,none,none,none,critical
20,Performance,Virtualize long lists,Render only visible items,vue-virtual-scroller for 100+ items,Render thousands of DOM nodes,"<RecycleScroller :items='bigList' />","v-for on 10k items",High,https://github.com/Akryum/vue-virtual-scroller,not-applicable,none,none,none,critical
21,Performance,Use dynamic imports for routes,Code split at route level,Lazy load route components,Import all routes eagerly,"component: () => import('./views/Home.vue')","import Home from './views/Home.vue'",Medium,https://router.vuejs.org/guide/advanced/lazy-loading.html,not-applicable,none,none,none,critical
22,Styling,Use scoped styles,Prevent style leakage between components,<style scoped> in SFCs,Global styles for component-specific CSS,"<style scoped>.btn { }</style>","<style>.btn { }</style>",Medium,https://vuejs.org/api/sfc-css-features.html,token-based,none,none,none,standard
23,Styling,Use CSS v-bind for dynamic styles,Bind reactive values to CSS,v-bind() in <style> blocks,Inline styles for dynamic values,"color: v-bind(themeColor)","style={{ color: themeColor }}",Medium,https://vuejs.org/api/sfc-css-features.html#v-bind-in-css,token-based,none,none,none,standard
24,Styling,Support dark mode with tokens,Use CSS custom properties for theming,Design tokens that adapt to color scheme,Separate dark CSS files,"var(--color-bg) with prefers-color-scheme",Duplicate styles in dark.css,Medium,,auto-detect,none,none,none,standard
25,Routing,Use Vue Router 4,Official router for Vue 3 applications,createRouter with createWebHistory,Hash history for production apps,"createRouter({ history: createWebHistory() })","createRouter({ history: createWebHashHistory() })",Medium,https://router.vuejs.org/,not-applicable,none,none,none,standard
26,Routing,Use navigation guards properly,Protect routes and handle auth,beforeEach for auth required routes,Auth checks inside components,"router.beforeEach((to) => { if (!auth) return '/login' })","onMounted(() => { if (!auth) redirect() })",High,https://router.vuejs.org/guide/advanced/navigation-guards.html,not-applicable,none,basic,agent-aware,standard
27,Forms,Use v-model for two-way binding,Simple reactive form inputs,v-model on inputs selects textareas,Manual event handling for forms,"<input v-model='email' />","<input :value='email' @input='email = $event.target.value' />",Medium,https://vuejs.org/guide/essentials/forms.html,not-applicable,none,basic,none,standard
28,Forms,Use VeeValidate or FormKit,Production-grade form handling,VeeValidate with Zod/Yup schemas,Custom validation logic,"useForm() + useField('email', schema)","Manual regex in watch()",Medium,https://vee-validate.logaretm.com/v4/,not-applicable,ai-optional,basic,agent-aware,standard
29,Testing,Use Vitest for unit tests,Fast Vite-native test runner,Vitest with @vue/test-utils,Jest with manual Vite config,"import { mount } from '@vue/test-utils'","jest.config with vite transforms",Medium,https://vitest.dev/,not-applicable,none,none,agent-aware,standard
30,Testing,Test component behavior,Test user-facing output not internals,Find by role/text trigger events assert output,Test internal state or refs,"await wrapper.find('button').trigger('click')","wrapper.vm.internalState",Medium,https://test-utils.vuejs.org/,not-applicable,none,none,agent-aware,standard
